LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110787 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1300   -951.04357            0   -914.74732   -116958.82    5330.9442 
    3200    1302.3657   -958.96652            0   -922.60422    10646.963     4512.018 
Loop time of 2.34729 on 1 procs for 3200 steps with 217 atoms

Performance: 353.361 ns/day, 0.068 hours/ns, 1363.276 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2933     | 2.2933     | 2.2933     |   0.0 | 97.70
Neigh   | 0.0059555  | 0.0059555  | 0.0059555  |   0.0 |  0.25
Comm    | 0.013811   | 0.013811   | 0.013811   |   0.0 |  0.59
Output  | 2.5485e-05 | 2.5485e-05 | 2.5485e-05 |   0.0 |  0.00
Modify  | 0.029348   | 0.029348   | 0.029348   |   0.0 |  1.25
Other   |            | 0.004883   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4144 ave 4144 max 4144 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8288 ave 8288 max 8288 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8288
Ave neighs/atom = 38.1935
Neighbor list builds = 10
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.666 | 9.666 | 9.666 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.96652    36.362299   -922.60422    1302.3657    10646.963    2.2352101            0 9.8279492e-32 
    6700   -954.78029    40.986508   -913.79378    1467.9881    2713.0724    2.2046937   0.16579838   0.08559307 
    6800   -959.12035    37.914334   -921.20601    1357.9539    10380.773    2.2340716 0.0058071336   0.08252555 
    6900   -959.71255    37.764934   -921.94761     1352.603    3901.5435    2.2154742  0.084079749  0.073653273 
    7000   -957.71456    37.536829   -920.17773    1344.4331    -7058.888    2.1854254   0.21701734   0.08658527 
    7100   -952.46706    38.430984   -914.03607    1376.4585   -10100.993    2.1673515   0.14094858  0.090381922 
    7200   -957.56987    35.100953   -922.46892    1257.1888    1111.9852    2.2080638  0.061744758  0.086986565 
    7300    -959.0997    37.163019   -921.93668    1331.0446    6845.4863    2.2219392  0.095645968  0.085263188 
    7400   -958.07592    37.610189   -920.46573    1347.0606    5777.2215    2.2187854  0.017068362  0.087375793 
    7500   -957.52701    40.068677   -917.45833    1435.1147   -2305.7673    2.1954623   0.36577699  0.092152287 
    7600   -950.98455    39.730999   -911.25355    1423.0203   -7674.1865     2.166601  0.054457944  0.087760124 
    7700   -955.61238    35.212415   -920.39996     1261.181   -1691.1221    2.1950098  0.074637916  0.087458781 
    7800   -958.75946    37.545095   -921.21437    1344.7291    4788.8472    2.2193968  0.045782149    0.1004516 
    7900   -958.23621    37.025522   -921.21069    1326.1199    9549.9846    2.2274069   0.11028865  0.079064099 
    8000   -957.67195    38.453211   -919.21874    1377.2546    1454.5112    2.2087761   0.21339486  0.084045145 
    8100   -953.36823    38.915294   -914.45294    1393.8047    -6810.606    2.1745225  0.079459631  0.086897754 
    8200   -956.94056     35.90264   -921.03792    1285.9023   -9652.2331    2.1841073  0.061666171  0.090580959 
    8300   -957.40422    35.450585   -921.95364    1269.7114    1056.8645    2.2047851  0.098298399  0.088322355 
    8400   -959.78775    38.496589   -921.29116    1378.8082    4433.7212    2.2179001  0.089579039  0.084176318 
    8500   -953.05247     39.12228    -913.9302    1401.2182     1295.619    2.1976415   0.17824267  0.090321754 
    8600   -957.60926    36.945227   -920.66403     1323.244    218.97449    2.2037271   0.14238308  0.095165335 
    8700   -955.34046     33.14309   -922.19737    1187.0653    -646.1896    2.2027869  0.010764965  0.094420315 
    8800   -959.12359    39.349751   -919.77384    1409.3654   -2085.6104    2.2015235   0.20126806  0.088497096 
    8900   -955.00149    39.821258   -915.18023    1426.2531   -1862.1818     2.193829   0.36061617  0.095737282 
    9000   -956.80841    35.023105    -921.7853    1254.4006    190.31445     2.206461   0.33510397  0.099430653 
    9100   -958.52736    36.533443   -921.99392    1308.4954    560.46001    2.2104632  0.022840395   0.10409266 
    9200   -956.27773    40.133732   -916.14399    1437.4447    1638.2964    2.2052099  0.081561028   0.10005713 
