    6700   -944.92629    40.989949   -903.93634    1468.1113    6113.6548    2.1929212    5.1636233   0.15743634 
    6800    -952.6661    43.585272   -909.08083    1561.0664      4410.49    2.2037404    4.4345493   0.14193401 
    6900   -949.61715    37.518667   -912.09848    1343.7826   -1459.0827    2.1864495     5.724439   0.14779595 
    7000   -947.59386    44.063199   -903.53066     1578.184   -7360.3032    2.1605294    3.8490468   0.15390066 
    7100   -952.96038    43.857784   -909.10259    1570.8268    1083.7654     2.194762    4.2958889   0.15195599 
    7200   -947.39126    36.883076   -910.50818     1321.018    11625.715    2.2110918    4.8903771   0.16566585 
    7300   -950.98626    46.002862    -904.9834    1647.6557    -1509.574    2.1810954    5.8221473   0.17164311 
    7400   -949.77972    41.970694   -907.80902     1503.238   -9243.1944    2.1636785    5.3361951   0.15712772 
    7500   -954.23165    42.079575   -912.15208    1507.1378   -3770.7576    2.1869571    4.7473826   0.16435956 
    7600   -950.71994    45.075197   -905.64474    1614.4301    11924.343    2.2182256    6.3789142   0.17503603 
    7700   -947.34975    38.056835   -909.29291    1363.0578    8916.8153    2.2060749    3.8892364   0.16970176 
    7800    -951.9556    37.736372   -914.21923      1351.58   -12140.172    2.1602214    5.7229878   0.15428227 
    7900   -949.20789    40.628967   -908.57892    1455.1822   -8988.3129     2.162228    5.7794282   0.15440617 
    8000   -949.66712    43.322373   -906.34475    1551.6503     9462.945     2.209216    5.1328916   0.17480996 
    8100   -952.85924    38.788724   -914.07051    1389.2714    10267.083    2.2181169    4.4855837   0.16098445 
    8200   -950.25088    42.151775   -908.09911    1509.7237   -3931.4594    2.1753856    4.4741379   0.17206822 
    8300    -951.4212    44.043643   -907.37755    1577.4836   -6885.7393    2.1723434    4.4135326   0.15815011 
    8400   -953.40843     40.82716   -912.58126    1462.2808    1528.8358    2.1978804    6.5582357   0.16361033 
    8500   -949.92199    40.624036   -909.29795    1455.0056    7217.3895    2.2035142    5.3393296   0.16083324 
    8600   -948.35029     42.81016   -905.54013    1533.3047    -2.614851    2.1844784    4.7659714   0.16275052 
    8700   -953.35611    41.820082   -911.53603    1497.8437   -6213.4902    2.1786888    4.5770753   0.15947791 
    8800   -949.91858    40.821006   -909.09757    1462.0604    -905.6937    2.1855308    5.8446498   0.15831409 
    8900   -948.28672    44.833266   -903.45346     1605.765    4531.6988    2.1945919     5.838241   0.18831656 
    9000   -951.92823    41.757093   -910.17113    1495.5876    4325.5447    2.2021991    5.3879259   0.16646062 
    9100   -951.37818    41.157677   -910.22051    1474.1187   -5795.7788    2.1782291    5.2306364    0.1804056 
    9200   -945.01831    42.091351   -902.92696    1507.5596   -8229.7417    2.1597962     4.329425   0.18142632 
    9300   -951.84706    40.463571   -911.38349    1449.2584    7225.3928    2.2071205    5.7819151    0.1636852 
    9400   -954.28259    44.346621   -909.93596    1588.3351    6983.5258    2.2124608    5.0666672   0.16289124 
    9500   -946.83533    40.865065   -905.97027    1463.6384   -4747.4941    2.1715349    4.4331086   0.16660752 
    9600   -947.98342    39.515417     -908.468    1415.2989   -13221.616    2.1515552    5.2426056   0.18264976 
    9700   -953.12727    40.261517   -912.86575    1442.0215    2629.2472    2.2019195    4.8846031   0.16678904 
    9800   -948.53618    42.763288   -905.77289    1531.6259    18039.142     2.226444    4.5236657   0.17313536 
