LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000998554 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1581.9919   -943.80807            0   -899.63855   -10221.282     4696.294 
Loop time of 2.27665 on 1 procs for 3200 steps with 217 atoms

Performance: 364.325 ns/day, 0.066 hours/ns, 1405.576 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1774     | 2.1774     | 2.1774     |   0.0 | 95.64
Neigh   | 0.050094   | 0.050094   | 0.050094   |   0.0 |  2.20
Comm    | 0.014881   | 0.014881   | 0.014881   |   0.0 |  0.65
Output  | 2.5106e-05 | 2.5106e-05 | 2.5106e-05 |   0.0 |  0.00
Modify  | 0.029328   | 0.029328   | 0.029328   |   0.0 |  1.29
Other   |            | 0.004901   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4139 ave 4139 max 4139 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8278 ave 8278 max 8278 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8278
Ave neighs/atom = 38.1475
Neighbor list builds = 85
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.659 | 9.659 | 9.659 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.80807    44.169516   -899.63855    1581.9919   -10221.282    2.1475035            0 5.3202031e-32 
    6700   -945.73782    48.015797   -897.72203    1719.7517   -9979.6042    2.1477279  0.045522226   0.12462377 
    6800   -940.81452    46.345927   -894.46859     1659.943   -355.58153    2.1626746   0.08564094   0.14875984 
    6900   -947.98599    51.176829   -896.80916    1832.9684    3713.4805    2.1835016  0.099231421   0.13322286 
    7000   -949.60652     46.65429   -902.95223    1670.9875    176.42215    2.1841475   0.28593555   0.12550015 
    7100   -946.44157    49.044057   -897.39751    1756.5803   -2595.8097    2.1633818  0.034541314   0.12329022 
    7200   -941.72702     46.91832    -894.8087    1680.4441   -274.29997    2.1652479   0.36040617   0.13874615 
    7300   -948.50489    46.313842   -902.19105    1658.7939    289.88191     2.183858  0.033023635   0.14040442 
    7400   -947.24589    45.689868   -901.55602    1636.4454   -469.48782    2.1777644   0.14512522   0.13407906 
    7500   -945.72519    50.233733   -895.49145    1799.1901   -2824.7209    2.1645817   0.13833063    0.1426675 
    7600   -945.44366    48.396667   -897.04699    1733.3931   -2139.5709    2.1671185  0.039501271   0.13301712 
    7700   -950.33026     44.95167   -905.37859    1610.0058   -25.799422    2.1857905  0.014021281   0.13738443 
    7800   -942.47866    46.145504   -896.33316    1652.7646   -1953.2468    2.1626256  0.043603779   0.14312385 
    7900   -944.38511    48.659068   -895.72604    1742.7913    49.700326    2.1698738    0.2687763   0.14456399 
    8000   -948.56869    49.537705   -899.03099    1774.2609    1569.8756     2.177253   0.13672842   0.11815351 
    8100   -951.55935     44.41683   -907.14252    1590.8498   -2500.7418    2.1793348  0.063120051   0.12413586 
    8200   -944.58507    46.946212   -897.63886    1681.4431   -5854.2457    2.1578782   0.33287135   0.14542099 
    8300   -943.76353    47.875323   -895.88821    1714.7205    8034.1362    2.1899406  0.044957319   0.14977612 
    8400   -946.46624    49.248343   -897.21789     1763.897   -261.36565    2.1735313   0.28981942   0.13831199 
    8500    -942.1922    51.047866   -891.14433    1828.3494   -8107.8248    2.1427975  0.050285718   0.13943554 
    8600   -940.80346    51.589574   -889.21388    1847.7514   -1154.8032    2.1541314  0.049779438   0.13758692 
    8700   -940.88167    45.324752   -895.55692    1623.3683    6462.9765    2.1750554   0.19015316   0.14156568 
    8800   -943.53618    45.825723   -897.71046    1641.3112     179.6308    2.1691446   0.27315618   0.15203881 
    8900   -939.69857    45.585922   -894.11265    1632.7224   -1225.5297    2.1585331   0.17735445   0.13215681 
    9000   -939.87883    51.034351   -888.84448    1827.8654   -2968.5671     2.152616   0.10081447   0.14226943 
    9100    -944.1671     47.28763   -896.87947    1693.6714    1367.3409    2.1792002  0.033909902   0.15711567 
    9200   -942.07045    44.985928   -897.08452    1611.2328    4810.2973    2.1791558  0.050558998   0.14670782 
    9300   -942.80899    53.221431   -889.58756    1906.1986   -7812.5742    2.1441524  0.016270196   0.16444506 
    9400   -942.04821    49.853628   -892.19458    1785.5762   -3016.3052    2.1571797  0.060944073   0.15109845 
    9500    -941.2003    44.231837   -896.96847     1584.224    7747.5551    2.1827097    0.3071591   0.13048671 
    9600    -942.4974    46.331055   -896.16635    1659.4104    3993.9621     2.173172   0.10049345   0.13225552 
    9700   -937.80553    47.538668   -890.26686    1702.6627   -5203.5365    2.1397444  0.082341656   0.15014067 
    9800   -939.51525     52.37474   -887.14051    1875.8732   -3820.5092    2.1460322  0.024581673   0.14087942 
    9900     -942.279    46.768072   -895.51093    1675.0627    10445.333    2.1907346  0.079074726   0.14900717 
   10000   -945.32816    48.897094   -896.43107    1751.3166   -690.70631    2.1672352   0.01889578   0.14107097 
   10100   -946.10328    48.031361   -898.07192    1720.3092   -12253.941    2.1446648   0.04104461   0.13127134 
   10200   -952.06073     44.73916   -907.32157    1602.3945     3212.502    2.1969822   0.19901256   0.13442454 
   10300   -942.60992    44.541756   -898.06817    1595.3242    7320.8125    2.1837644  0.050852074   0.13735634 
   10400   -944.84996    48.292668   -896.55729    1729.6682   -7324.7743    2.1526143  0.023611352   0.13907774 
   10500   -946.45658     50.08276   -896.37382    1793.7828   -6244.9423    2.1567514  0.015588032   0.12400204 
   10600   -949.79805    44.203353    -905.5947    1583.2038    9746.4021    2.2059743  0.026794883   0.11976727 
   10700   -948.22548    48.818402   -899.40708    1748.4981   -939.32346    2.1694653 0.0087883589   0.11822765 
   10800   -944.36111    47.890166   -896.47094    1715.2521   -9964.6411    2.1430206   0.10150792   0.13005074 
   10900   -945.69065    50.056192   -895.63446    1792.8313    4097.9208    2.1792947   0.15870996    0.1431873 
   11000     -949.322    45.677507   -903.64449    1636.0027    11578.423    2.2095399  0.049586635   0.13252465 
   11100   -946.38102    46.387498   -899.99352     1661.432   -11457.182    2.1452527  0.039730652   0.13523107 
   11200   -945.27209    48.806227   -896.46586    1748.0621   -5751.9585    2.1545535  0.071548467   0.12053365 
   11300   -943.19097    47.934239   -895.25673    1716.8306    12538.851    2.1969625  0.028619597   0.12730793 
   11400   -943.19608    41.721895   -901.47419     1494.327    1725.1361    2.1776255   0.37831737   0.13263373 
   11500   -948.50774    43.929258   -904.57848    1573.3867   -10332.821    2.1562724   0.80652678   0.12567553 
   11600   -944.91103    49.465172   -895.44586    1771.6631   -939.40763    2.1673326  0.030891639   0.13181471 
   11700   -943.66353    47.949669   -895.71386    1717.3832    7108.3787    2.1827812  0.089461456   0.13490847 
   11800   -944.75131    45.849843   -898.90147    1642.1751   -1940.5694    2.1677319  0.021561543   0.14162517 
   11900   -948.76628    44.516846   -904.24943     1594.432   -5296.5273    2.1678025  0.025256239     0.130692 
   12000   -951.11222     44.72329   -906.38893     1601.826    5002.1187    2.1962696  0.092294624   0.13790311 
   12100   -946.11253     47.56944   -898.54309    1703.7648    199.91578    2.1735032   0.02487839   0.13451184 
   12200   -946.62835    49.693704   -896.93465    1779.8483    -6738.097    2.1577998 0.0093422719   0.11948722 
   12300   -943.53736    49.196123   -894.34124    1762.0267    1006.5779    2.1672115   0.23892902   0.13738844 
   12400   -946.13261    47.774129   -898.35848     1711.096    817.45089    2.1758484  0.026775591   0.13683213 
   12500   -944.87261      42.2818   -902.59081    1514.3807     2107.229    2.1792394  0.092122064   0.12675434 
   12600   -948.66368     50.79466   -897.86902    1819.2805   -1525.3408     2.172321    0.2231978   0.14107531 
   12700   -941.27265    46.726926   -894.54572     1673.589    1146.7403    2.1647807  0.076738276   0.13540228 
   12800   -943.65345    45.335581   -898.31787    1623.7561   -949.03934    2.1621407   0.10067447   0.12969071 
   12900   -946.04127    43.407317   -902.63396    1554.6927    5840.8329    2.1850617  0.060055659    0.1274229 
   13000   -943.20461    47.822672   -895.38193    1712.8347     3418.188    2.1723488  0.082739235   0.13211215 
   13100   -943.49546    47.422405   -896.07306    1698.4986    -5120.018     2.151104   0.23515987   0.13433067 
   13200   -948.03518    43.003525   -905.03165    1540.2303    364.65157    2.1808222  0.094175237   0.11335157 
   13300   -944.60233    46.955946   -897.64639    1681.7917    9648.5342    2.1901087   0.22187787   0.12954702 
   13400   -939.53359    44.655762   -894.87782    1599.4075    286.90798    2.1572763  0.014684137   0.14298968 
   13500   -943.31406    44.137076   -899.17698      1580.83   -10194.827    2.1410748   0.27279642   0.12654199 
   13600   -947.65478    46.573652   -901.08113    1668.0993    7789.7002     2.197376   0.23990527   0.14068306 
   13700   -943.65956     52.10865   -891.55091    1866.3429    4392.2083    2.1806067   0.24808216   0.14317471 
   13800   -943.51222    46.627729   -896.88449    1670.0361   -9539.8009    2.1432703  0.039018445   0.13438833 
   13900   -944.09116    45.559163     -898.532     1631.764    -3414.696    2.1677868  0.088058724   0.15268022 
   14000   -943.60995    50.107612   -893.50234    1794.6729    11237.433    2.1999303   0.14298122    0.1555354 
   14100    -943.5582     53.06814   -890.49006    1900.7083   -7238.4203    2.1487342  0.085551218   0.13931862 
   14200   -944.19518     46.07811   -898.11707    1650.3508   -8113.5227    2.1500394    0.1082228   0.13326253 
   14300    -941.9144    45.332846   -896.58155    1623.6581    9083.8966    2.1879674   0.50823135   0.14579113 
   14400   -938.89058    50.913197   -887.97738    1823.5261    4689.8046    2.1688901  0.022975924   0.14186144 
   14500   -942.33981    47.837294   -894.50251    1713.3584   -8356.1947    2.1475078   0.11853805   0.14706586 
   14600   -943.54716    45.324796   -898.22237    1623.3698   -864.50543    2.1663753   0.01788897   0.13553973 
   14700   -944.93397    50.919094   -894.01487    1823.7373    5838.6653    2.1886422  0.034335869   0.13510061 
   14800   -937.74918    48.869655   -888.87952    1750.3338    158.13482    2.1523821  0.019506285   0.14573131 
   14900   -946.37508     46.80339   -899.57169    1676.3277   -2916.5592    2.1675885  0.099285054   0.12196874 
   15000   -945.37033    48.109281   -897.26104       1723.1    2671.2026    2.1762347  0.035692968   0.13728456 
   15100   -942.90424    49.110822   -893.79342    1758.9715    2165.5795    2.1746683   0.17289642   0.12688096 
   15200   -939.27623    50.512554   -888.76368    1809.1765   -2478.0451    2.1536025   0.21943751   0.12920781 
   15300   -941.13999    52.468054   -888.67193    1879.2154    -5342.582    2.1476747 0.0047505187   0.14700689 
   15400   -945.00438    48.396539   -896.60784    1733.3885    6401.5237    2.1875405   0.10565802   0.12846185 
   15500   -945.09644    48.826595   -896.26984    1748.7916    3483.6556    2.1798782   0.37175678   0.13683569 
   15600   -943.55327    46.314609   -897.23866    1658.8213   -5563.3929    2.1581193   0.13836282   0.13802715 
   15700   -940.57401    44.926568   -895.64744    1609.1067    1697.1319    2.1705619  0.011524045    0.1461949 
   15800   -936.03741    49.497262   -886.54015    1772.8124    430.99909     2.154071    0.2490544   0.14198243 
   15900   -942.74837     48.70405   -894.04432    1744.4024   -196.17388    2.1679388  0.043780684   0.14079787 
   16000   -942.54237    45.258893   -897.28348    1621.0094    1980.2549     2.171719   0.16487096   0.14163574 
   16100   -947.66634    49.284346     -898.382    1765.1866   -1051.6812    2.1744008   0.11700092   0.13075734 
   16200   -939.79102    52.255469   -887.53556    1871.6014   -2571.7656    2.1528392    0.2722568   0.13310508 
   16300   -944.08353    49.489852   -894.59368     1772.547    4314.7595    2.1790042   0.36122096   0.15170384 
   16400   -948.92549    51.117354   -897.80814    1830.8382   -3383.1847     2.168223     0.203196   0.12217709 
   16500   -944.48229     49.48606   -894.99623    1772.4112    -3554.092     2.158947   0.27500212   0.14061875 
   16600   -940.72622    53.369818    -887.3564    1911.5134   -2504.7358    2.1558423  0.036194536   0.15655946 
   16700    -943.3103    46.487707   -896.82259    1665.0211     6127.268    2.1843962   0.11864095   0.14550397 
   16800    -943.0093    45.292487   -897.71681    1622.2126   -3297.5886    2.1620326   0.17946704   0.14919854 
   16900   -943.84172    52.584453   -891.25727    1883.3844   -6746.1149    2.1472089   0.11726952   0.14363791 
   17000   -935.56714     47.00515   -888.56199     1683.554    6625.9927     2.168769   0.51590717   0.15502575 
   17100   -942.87494    45.881415   -896.99353    1643.3059    9219.1728    2.1885472  0.027302707   0.15940166 
   17200   -944.09408    47.169443   -896.92463    1689.4384   -7592.1333    2.1510393   0.03035947    0.1374963 
   17300   -936.75299    43.571116   -893.18188    1560.5594    -3793.415    2.1492968  0.045419727   0.15130785 
   17400   -938.25147    54.428685   -883.82278    1949.4381     10722.42    2.1818558   0.70058725   0.15648375 
   17500    -939.8563    48.926124   -890.93017    1752.3563    1113.3969    2.1612809   0.49594886   0.14547981 
   17600   -943.17286     47.32153   -895.85133    1694.8856   -15708.511    2.1306378  0.036873752   0.15463037 
   17700   -941.80454    45.178663   -896.62588    1618.1359    7022.7012    2.1831708   0.25520669   0.13568037 
   17800   -951.53247    49.564057   -901.96841    1775.2048    6036.8559    2.2022731  0.047059918   0.13306816 
   17900   -950.61226     48.21643   -902.39583    1726.9377   -8652.5212    2.1620301  0.010571947   0.13080163 
   18000   -943.68965    49.083625   -894.60603    1757.9974   -6692.9805    2.1494883  0.075271419   0.12544792 
   18100   -945.75993    49.694902   -896.06503    1779.8912    3039.2191    2.1793593   0.08951415   0.14444724 
   18200   -942.67065    44.869638   -897.80101    1607.0677    6277.7202    2.1802079   0.02243716   0.12359905 
   18300   -938.62759    49.133233   -889.49436    1759.7742    -377.3744    2.1516824   0.16534195   0.13621202 
   18400   -942.78772    51.356058   -891.43166    1839.3878   -2631.9153    2.1604816   0.21143992   0.14373001 
   18500   -942.36563     45.43666   -896.92897    1627.3764     1959.898     2.175771  0.097053426    0.1392802 
   18600   -944.23614    46.651012   -897.58513    1670.8701     1015.921    2.1755804  0.072845192   0.13962082 
   18700   -934.50414    46.899657   -887.60448    1679.7756    628.26943     2.153883   0.15997264   0.14648616 
   18800   -941.07196    46.843466    -894.2285    1677.7631     3506.053    2.1785605  0.044333477   0.15237401 
   18900   -941.72676    44.039076   -897.68769      1577.32   -2268.7141    2.1668254  0.082112016   0.13690667 
   19000   -942.17839    46.956827   -895.22157    1681.8233   -1788.2516    2.1676528  0.031627901   0.14210449 
   19100   -937.99331    52.260852   -885.73246    1871.7942    4813.1646    2.1645531  0.050381352   0.14421954 
   19200   -942.51081    46.769295   -895.74151    1675.1065    5294.5036    2.1821671  0.099245265   0.13065707 
   19300   -943.69859    46.080164   -897.61842    1650.4244   -8490.8018    2.1504137  0.074251953   0.14309974 
   19400   -940.10437    46.063617   -894.04076    1649.8317   -371.06426    2.1631354     0.089647   0.12996904 
   19500   -938.27934    52.350545   -885.92879    1875.0067    10793.777    2.1845458   0.11194667    0.1354566 
   19600   -942.35975    49.241249    -893.1185     1763.643   -3767.9017    2.1539031   0.22931927   0.13357042 
   19700   -943.41059    46.329693    -897.0809    1659.3616   -11300.921    2.1357267  0.037296224   0.13017961 
   19800    -942.9009    47.409626   -895.49127    1698.0409    9732.7266    2.1901302   0.15421139   0.14414393 
   19900   -949.04026    47.036907   -902.00335    1684.6914    4495.3859    2.1910343   0.23239528   0.13825383 
   20000   -945.37278     40.88235   -904.49043    1464.2575   -4868.3364    2.1613646   0.10050717   0.11535864 
   20100   -946.07299    48.999146   -897.07385    1754.9717   -2773.8942    2.1621699  0.090420746   0.13366063 
   20200   -944.43528    48.525506   -895.90978    1738.0076    4857.2562    2.1806471   0.57005548   0.12535488 
   20300   -948.80444     48.69534    -900.1091    1744.0905   -3018.3434    2.1719304  0.031694437    0.1219886 
   20400   -949.96371    43.230504   -906.73321    1548.3599   -4498.7207    2.1741974  0.072822469   0.12822429 
   20500   -942.10802    44.647329   -897.46069    1599.1054     881.3476     2.171498  0.099438839   0.13228966 
   20600   -943.20074    47.316523   -895.88422    1694.7063    3312.7452    2.1765858  0.087910136   0.15202751 
   20700   -943.96884    45.295926   -898.67291    1622.3358   -2138.7964    2.1653155   0.24760395   0.14026007 
   20800   -949.12174    42.137274   -906.98446    1509.2043   -1527.7697    2.1768917   0.34095665   0.15961523 
   20900   -945.29348    47.748249   -897.54523    1710.1691   -2039.5531    2.1686508    5.5262733   0.16164585 
   21000   -942.22587    47.387483   -894.83838    1697.2478    9017.2401     2.185816    6.1717218    0.1621326 
   21100   -945.41955    49.102245   -896.31731    1758.6644   -5375.9052    2.1596181    5.3487054   0.16360735 
   21200   -945.95924    47.640163   -898.31907    1706.2979   -13643.319    2.1427069    3.8529335   0.14921267 
   21300   -949.50807    46.116929   -903.39114    1651.7411    12781.078    2.2105716    6.0674234   0.15390154 
   21400   -940.30414    45.579906   -894.72424    1632.5069    9124.1756     2.185959   0.45054456   0.14049477 
   21500   -943.96854    48.825068   -895.14347    1748.7369    -13961.09    2.1310979   0.31461971   0.14431536 
   21600   -944.99618     48.36912   -896.62706    1732.4065   -2470.9058    2.1652684  0.067295874   0.12923057 
   21700   -950.17041    47.731196   -902.43922    1709.5584    12695.311    2.2137698  0.061353002   0.13631116 
   21800   -944.96996    51.156951   -893.81301    1832.2565   -6586.2359    2.1539018   0.10376095    0.1355476 
   21900   -945.56018    49.060869   -896.49931    1757.1824   -10548.424    2.1480936   0.19738112   0.11736438 
   22000   -949.47424     48.87701   -900.59723    1750.5972    4890.2516    2.1927055   0.11905081   0.12152233 
   22100   -939.61362    48.686755   -890.92687     1743.783    8207.2734     2.174287   0.34350267   0.14629636 
   22200   -938.40664    44.684116   -893.72253     1600.423    -2079.574    2.1542852   0.24244463   0.12888599 
   22300   -944.86999    45.492364   -899.37763    1629.3715   -3366.2047    2.1628148   0.10551941   0.12484951 
   22400   -941.28307    46.439808   -894.84326    1663.3055    8612.9051    2.1844869  0.011697546    0.1378295 
   22500   -939.34859    48.562167   -890.78642    1739.3207    1569.0722    2.1622944  0.015806762   0.13271434 
   22600   -947.99658    48.445151   -899.55143    1735.1296   -6624.2435    2.1599925  0.016313582   0.12789981 
   22700   -944.37429    48.285213   -896.08908    1729.4012    1382.8281     2.176454  0.097546945   0.13751831 
   22800   -937.45266    48.111205   -889.34145    1723.1689    5140.4029    2.1734383   0.13077996   0.13261705 
   22900   -943.24599    44.046868   -899.19912    1577.5991   -1880.9554    2.1699563   0.53580116   0.13124078 
   23000   -940.14558    42.043284   -898.10229     1505.838   -8267.6874    2.1466386   0.10149686   0.13527039 
   23100   -940.06895    48.323606   -891.74534    1730.7763    11474.434    2.1909533   0.18940013   0.12629874 
   23200   -946.67631    47.155835   -899.52047     1688.951      10731.5    2.2056686  0.072008849    0.1259159 
   23300   -947.83887    46.114307   -901.72457    1651.6472   -15708.492    2.1407977   0.13260824   0.12722458 
   23400   -941.82049    46.737062   -895.08343    1673.9521   -4662.5025    2.1545263 0.0097929169   0.12691764 
   23500   -944.50984    48.964118   -895.54572    1753.7171    13788.546     2.203654   0.26469965   0.14192985 
   23600     -950.986    47.582685   -903.40331    1704.2392   -1121.9537    2.1848713   0.11307749   0.12264577 
   23700    -941.5846    47.594848   -893.98976    1704.6749   -8343.7886     2.142126  0.025515588   0.12235312 
   23800   -942.98598    48.309209   -894.67678    1730.2607    4853.0472    2.1786366  0.046452557   0.14789296 
   23900   -945.86615    46.491719   -899.37443    1665.1648    6816.3306    2.1930051   0.09588641   0.12917391 
   24000   -943.16173    50.738425   -892.42331    1817.2664   -4267.2426    2.1548435   0.19144899   0.13024843 
   24100   -941.37856    49.027341   -892.35122    1755.9816   -4158.3904    2.1531388   0.12701641   0.14804532 
   24200   -943.08411     44.71086   -898.37325    1601.3808    5134.0957    2.1850395  0.001705457   0.15502844 
   24300    -946.0515    48.953113   -897.09839     1753.323    1265.9736    2.1766056  0.078808438   0.15545847 
   24400   -939.59972    49.766304   -889.83342    1782.4485   -6201.5236    2.1412919   0.10422925   0.14450244 
   24500   -945.13136    45.432878   -899.69848    1627.2409    1059.9287    2.1772952  0.036490556   0.12445543 
   24600    -942.6847    45.978706   -896.70599    1646.7905    6142.3711    2.1852743    0.1220461   0.14130237 
   24700   -940.16997    48.185143   -891.98483    1725.8171    -4847.118    2.1500097   0.16925538   0.13032653 
   24800   -944.20796    44.217617   -899.99034    1583.7147   -6803.9903    2.1511879   0.10717953   0.12832045 
