LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101523 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1641.7188   -943.48971            0    -897.6526   -9066.8433    4700.2408 
Loop time of 2.26323 on 1 procs for 3200 steps with 217 atoms

Performance: 366.485 ns/day, 0.065 hours/ns, 1413.907 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1853     | 2.1853     | 2.1853     |   0.0 | 96.56
Neigh   | 0.029037   | 0.029037   | 0.029037   |   0.0 |  1.28
Comm    | 0.014271   | 0.014271   | 0.014271   |   0.0 |  0.63
Output  | 2.5477e-05 | 2.5477e-05 | 2.5477e-05 |   0.0 |  0.00
Modify  | 0.029497   | 0.029497   | 0.029497   |   0.0 |  1.30
Other   |            | 0.005095   |            |       |  0.23

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4131 ave 4131 max 4131 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8262 ave 8262 max 8262 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8262
Ave neighs/atom = 38.0737
Neighbor list builds = 49
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.48971    45.837104    -897.6526    1641.7188   -9066.8433    2.1457003            0 8.0261347e-32 
    6700    -949.6522    47.153297    -902.4989    1688.8601    228.74313    2.1798395  0.034310638   0.11330831 
    6800   -945.44117    46.635477   -898.80569    1670.3137    -7655.949    2.1561954   0.22145267   0.11925707 
    6900   -944.23204    46.134561   -898.09748    1652.3727    875.35845    2.1735675  0.086663778   0.11589629 
    7000   -943.27159     45.80168   -897.46991    1640.4501     6832.471    2.1855286   0.16644088   0.13784307 
    7100   -939.67794    53.114636   -886.56331    1902.3737   -1731.2781    2.1496953  0.077084509   0.13089613 
    7200   -946.72579    53.348296    -893.3775    1910.7425    -3513.474    2.1625927  0.095428585   0.12025157 
    7300   -942.72248    44.734085   -897.98839    1602.2127   -104.16267     2.170801    0.2376176   0.13606409 
    7400   -945.88507    46.304039   -899.58103    1658.4428    1001.4032     2.176252   0.05618951   0.12144506 
    7500   -938.66478    45.804712   -892.86006    1640.5587    3677.5804    2.1666896  0.072227263   0.14224522 
    7600   -941.83773    49.383926   -892.45381    1768.7531    -1014.299    2.1613505  0.046705019   0.13375657 
    7700   -946.07477    47.077833   -898.99694    1686.1573   -7415.8094    2.1506541  0.092332857   0.10682048 
    7800   -946.82199    48.838605   -897.98339    1749.2217    6716.2274     2.188622   0.22226111   0.10918033 
    7900   -940.69858    48.350191   -892.34839    1731.7285     12687.51    2.1921345  0.052431704   0.12486671 
    8000   -940.30275    47.466016   -892.83674    1700.0606   -13061.175    2.1268566  0.027466102   0.12378059 
    8100   -945.79933     45.21198   -900.58735    1619.3291   -5676.7922     2.155808   0.17275139   0.12238232 
    8200   -945.51304    49.009826   -896.50321    1755.3542    14096.513    2.2044447  0.041498737   0.12766127 
    8300   -940.50884    46.516212   -893.99263     1666.042    3703.8364    2.1698517   0.23053319   0.12419861 
    8400   -936.68886    43.666997   -893.02186    1563.9935   -11353.409    2.1294801  0.010572205   0.15153299 
    8500   -948.85498    46.776233   -902.07874     1675.355    6028.0798    2.1938781  0.033807561   0.11695127 
    8600   -942.78663     44.88761   -897.89902    1607.7114    13549.618    2.2016231   0.41268772    0.1371971 
    8700   -944.35825    46.674188   -897.68406    1671.7001   -8717.0554    2.1488152   0.28308325   0.12721974 
    8800    -943.1729    50.161498    -893.0114    1796.6029   -7948.3711    2.1473794   0.17763842   0.13395972 
    8900   -938.80916    51.539372   -887.26979    1845.9534    6084.6252    2.1702563  0.075458208   0.13759804 
    9000   -946.34945    51.005708   -895.34374    1826.8395    1703.0384    2.1737269   0.18432406   0.12195765 
    9100   -941.44146    43.135717   -898.30574    1544.9649   -2946.0438    2.1568982  0.087777129    0.1182752 
    9200   -945.47955    46.140108   -899.33944    1652.5713   -568.68852    2.1721676   0.14009499   0.12554419 
