LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000986441 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200    1527.6675   -948.63483            0   -905.98206   -5738.2516    4651.7986 
Loop time of 2.3096 on 1 procs for 3200 steps with 217 atoms

Performance: 359.127 ns/day, 0.067 hours/ns, 1385.522 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 96.58
Neigh   | 0.030449   | 0.030449   | 0.030449   |   0.0 |  1.32
Comm    | 0.014389   | 0.014389   | 0.014389   |   0.0 |  0.62
Output  | 2.5111e-05 | 2.5111e-05 | 2.5111e-05 |   0.0 |  0.00
Modify  | 0.029373   | 0.029373   | 0.029373   |   0.0 |  1.27
Other   |            | 0.004835   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4185 ave 4185 max 4185 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8370 ave 8370 max 8370 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8370
Ave neighs/atom = 38.5714
Neighbor list builds = 51
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.663 | 9.663 | 9.663 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -948.63483     42.65277   -905.98206    1527.6675   -5738.2516    2.1680448            0 1.0009129e-31 
    6700   -950.98839    36.231832   -914.75656    1297.6928   -4497.6889    2.1808234   0.07548725   0.11180253 
    6800   -950.75845    42.642248    -908.1162    1527.2907   -1896.4681    2.1825881  0.020387253    0.1173913 
    6900   -948.94158    44.137544   -904.80403    1580.8468    6296.2066    2.1995885   0.12665606   0.12005636 
    7000   -947.32776    39.742257    -907.5855    1423.4235    945.77593    2.1865491   0.14368579   0.13921681 
    7100   -952.61987    38.046544   -914.57333    1362.6892   -6186.9174    2.1780169    0.1421722   0.10262038 
    7200   -949.50431    42.541873   -906.96244    1523.6956    -1965.496     2.176809  0.093827968   0.12120475 
    7300   -949.43159    44.735901   -904.69569    1602.2777    9680.9984    2.2062224   0.13282155    0.1294032 
    7400   -951.84771    42.589599   -909.25811     1525.405    5380.6166    2.2018953  0.010874844   0.11895669 
    7500   -954.66997     40.02883   -914.64114    1433.6875   -11441.834    2.1659493  0.030506907   0.11417441 
    7600   -947.23604    40.275659   -906.96038    1442.5281   -8662.1694    2.1616555  0.085589414    0.1252075 
    7700   -948.08011    43.168805    -904.9113      1546.15    12361.738    2.2120377   0.22170889   0.12621211 
    7800   -954.15044     46.14233   -908.00811    1652.6509    6517.5901    2.2084434  0.055063128   0.12158735 
    7900   -955.73831    39.940859   -915.79745    1430.5367   -9666.7421    2.1753308  0.065165499   0.11726355 
    8000   -951.68717    43.292408   -908.39476    1550.5771   -9892.1851    2.1679717    0.1745581   0.11100283 
    8100   -946.37637    40.764762   -905.61161    1460.0459    8283.3149    2.2005477  0.089128443   0.12953345 
    8200   -949.06691    43.508073   -905.55884    1558.3014    6031.0745    2.1948125   0.08528498   0.11517724 
    8300   -953.10834    51.245445   -901.86289     1835.426   -7874.7879    2.1697643   0.10335913   0.11210015 
    8400   -943.56627    45.536827   -898.02944     1630.964   -6479.6495     2.155165  0.066258348   0.15111944 
    8500   -946.86595    41.766892   -905.09906    1495.9386    3204.1964    2.1854861  0.087569174   0.11574664 
    8600   -948.37603    42.097062   -906.27896    1507.7641    8222.5829    2.1993449  0.093071853   0.12436507 
    8700   -950.37116    43.298886   -907.07227    1550.8091   -1018.1454    2.1837352   0.14069829    0.1130285 
    8800   -944.27422    47.663942   -896.61028    1707.1495   -10811.058    2.1454174    0.1524075   0.11761262 
    8900   -945.56408    41.557279    -904.0068     1488.431    5548.9044     2.191608   0.24404354   0.12476373 
    9000   -950.13497    43.879842   -906.25513    1571.6168    8135.7743    2.2024893  0.042273991   0.11400399 
    9100   -950.97604    43.041227   -907.93481    1541.5807   -3820.8289    2.1770291  0.093361627   0.10738897 
    9200   -943.69652    45.841401   -897.85512    1641.8727   -6634.6387     2.153261   0.21177191   0.11074592 
    9300   -944.79813    41.617379   -903.18075    1490.5836    9940.0021    2.1947391  0.079425595   0.11344035 
    9400   -948.86318    42.298347   -906.56484    1514.9734    5554.6806    2.1957193  0.033185203   0.12279609 
    9500   -952.10156    45.646418   -906.45514    1634.8892   -6201.1425    2.1733593  0.034735114   0.11333142 
    9600   -945.04634    47.793956   -897.25238    1711.8062   -6243.5827    2.1553968   0.08754734   0.13010216 
    9700   -951.57608    45.524178    -906.0519    1630.5109    3569.7075    2.1957941  0.082853008   0.11678764 
    9800   -949.91021    43.030661   -906.87955    1541.2022    3001.4001    2.1892991   0.12564957    0.1078516 
    9900   -949.46055    46.098658   -903.36189    1651.0868   -2783.0288    2.1735592   0.15962125   0.11057033 
   10000   -945.12992    47.508923     -897.621    1701.5973   -3027.6499    2.1651083   0.14186171   0.10587831 
   10100   -951.68429    44.088644   -907.59564    1579.0953    2691.1595    2.1958059   0.11072578    0.1094245 
   10200   -947.48528    41.246305   -906.23897    1477.2931    3185.3423    2.1878844   0.02499019   0.10515804 
   10300   -952.94896    49.358816   -903.59014    1767.8538   -7727.3355    2.1725181   0.12431315   0.10459393 
   10400   -939.81659    44.145638   -895.67095    1581.1367    980.30396    2.1649358   0.12620919   0.13665212 
   10500   -946.88883    44.654288   -902.23454    1599.3547    4681.0563    2.1891519   0.17741147   0.12896309 
   10600   -946.47135    41.387402   -905.08395    1482.3466   -2002.4679    2.1726436   0.25566063   0.11516535 
   10700   -949.71173    43.221978   -906.48975    1548.0545    -3596.072       2.1735   0.14919738    0.1063955 
   10800   -950.20907    43.275248   -906.93382    1549.9624    3350.1156    2.1954402   0.16691848   0.11639433 
   10900   -943.44353    46.639207   -896.80432    1670.4472    3999.1926    2.1794416    0.1411293   0.11176656 
   11000   -947.35797    44.831199   -902.52677     1605.691   -618.02517     2.175795   0.25845166   0.10466914 
   11100   -947.92474    41.155052   -906.76969    1474.0247   -4907.2463    2.1672604   0.16746296    0.1144388 
   11200   -947.91862    41.559155   -906.35947    1488.4982    2686.1508    2.1867812   0.15229621    0.1065674 
   11300   -942.81155    46.019103   -896.79245    1648.2374    8046.2698    2.1885963   0.10168213   0.12160902 
   11400   -949.87206    45.884257    -903.9878    1643.4077   -540.98788    2.1848025   0.26298194   0.11937873 
   11500   -946.81045    39.463501   -907.34695    1413.4395   -8739.3547     2.158075   0.10632997   0.12244224 
   11600    -946.3065    42.491095   -903.81541    1521.8769   -1115.2077    2.1732578   0.35514079   0.11250596 
   11700   -944.06072     47.70914   -896.35158    1708.7684     10067.72     2.197419  0.039303163   0.11142418 
   11800   -948.59235    43.228527   -905.36382    1548.2891    6130.1521    2.1984489   0.13394714   0.11570304 
   11900   -949.21178     42.16129   -907.05049    1510.0645   -10316.118    2.1595633  0.088401282   0.10421229 
   12000   -944.19757    41.478404   -902.71916     1485.606   -3168.3811    2.1652205   0.43815707   0.11593254 
   12100   -944.38837    48.593924   -895.79444    1740.4581    6831.4041    2.1883008  0.065366495   0.10514109 
   12200   -950.34698    44.383187   -905.96379    1589.6448    7245.9517    2.2046517  0.080362511   0.10258604 
   12300   -949.02765    42.569133   -906.45852     1524.672   -5962.1233    2.1672261   0.30500292   0.10797297 
   12400   -947.06744    42.555125   -904.51232    1524.1703   -3754.6657    2.1686464   0.17260894   0.11549754 
   12500   -952.21624    41.474095   -910.74215    1485.4517    1952.1624    2.1958102   0.21374662   0.11514536 
   12600   -952.12511    40.839729   -911.28538     1462.731    2801.2706    2.1980672  0.095330113   0.10531826 
   12700   -949.16846    42.923474   -906.24499    1537.3632   -274.09466    2.1803968  0.031323425  0.099455751 
