LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00112311 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1700   -951.04357            0   -903.57924   -114721.17    5330.9442 
    3200    1608.2066   -943.14493            0    -898.2435   -11617.845    4713.3018 
Loop time of 2.28781 on 1 procs for 3200 steps with 217 atoms

Performance: 362.547 ns/day, 0.066 hours/ns, 1398.716 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1922     | 2.1922     | 2.1922     |   0.0 | 95.82
Neigh   | 0.045671   | 0.045671   | 0.045671   |   0.0 |  2.00
Comm    | 0.015107   | 0.015107   | 0.015107   |   0.0 |  0.66
Output  | 2.505e-05  | 2.505e-05  | 2.505e-05  |   0.0 |  0.00
Modify  | 0.029626   | 0.029626   | 0.029626   |   0.0 |  1.29
Other   |            | 0.005138   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4103 ave 4103 max 4103 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8206 ave 8206 max 8206 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8206
Ave neighs/atom = 37.8157
Neighbor list builds = 77
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.664 | 9.664 | 9.664 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -943.14493    44.901435    -898.2435    1608.2066   -11617.845    2.1397544            0 6.395514e-32 
    6700   -940.59546    45.118235   -895.47723    1615.9715    -6777.904    2.1499691   0.04504091   0.15183076 
    6800   -945.91074    49.432268   -896.47847    1770.4846   -7267.0445    2.1548448 0.0037281563   0.12001369 
    6900   -945.34063    49.543469   -895.79716    1774.4674    10208.154    2.1949637  0.050825736     0.125397 
    7000   -947.76368    45.856844   -901.90684    1642.4259    786.13009    2.1820133 0.0055319526   0.11712931 
    7100   -951.08934    44.817651   -906.27168    1605.2057   -13437.209    2.1498811   0.10021998    0.1062132 
    7200   -945.70327     48.21378   -897.48949    1726.8427   -1388.1596    2.1721596  0.098605189   0.13318787 
    7300   -946.40349    50.852602   -895.55089    1821.3558     13345.03    2.2111428   0.11020409   0.14735262 
    7400   -946.02994    47.991403   -898.03854     1718.878    -7791.215    2.1531613  0.049686923   0.11977605 
    7500   -938.27882    49.834817     -888.444    1784.9024   -15196.671    2.1140377  0.091164072   0.15479567 
    7600   -944.68589    53.826292   -890.85959    1927.8626    11322.941    2.2001092   0.28635645   0.13783499 
    7700   -948.00074    52.363699   -895.63704    1875.4778   -1258.3191    2.1766177  0.076653418   0.14512529 
    7800   -942.82262    45.410929   -897.41169    1626.4548   -6471.7793    2.1526074   0.12420838   0.12525054 
    7900   -943.06414    48.788949   -894.27519    1747.4432    2995.9365    2.1723333  0.076349373   0.12795252 
    8000   -940.14647    53.328834   -886.81764    1910.0454    621.22046     2.162133    0.0123157   0.14382317 
    8100   -943.62906    47.650045   -895.97902    1706.6518   -41.903663    2.1696184  0.006110706   0.13017732 
    8200   -945.11012    47.837809   -897.27231    1713.3768   -1553.0086    2.1726245   0.26930207   0.13059482 
    8300   -943.23574    49.395432    -893.8403    1769.1652    562.70607    2.1719442  0.099170902   0.14941414 
    8400   -938.81872    51.197103   -887.62162    1833.6946   -4099.1634    2.1474158  0.061713031   0.15499808 
    8500   -946.95978    49.825973    -897.1338    1784.5857    1016.1236    2.1755121 0.0046319203   0.13547084 
    8600   -941.70599    44.868993   -896.83699    1607.0446    5478.4945    2.1837664   0.21959991   0.14694834 
    8700   -937.64726    45.355697   -892.29157    1624.4766   -989.48129    2.1557158   0.24536513   0.13150751 
    8800   -941.71137     52.93175   -888.77962    1895.8233    -7932.352    2.1443652  0.078012751   0.14737302 
    8900   -945.34887    48.274726   -897.07415    1729.0256    7817.3045    2.1933962    0.1736731   0.14047381 
    9000   -945.54718    49.052198   -896.49498    1756.8718    4442.3536    2.1834505   0.12722903   0.13329552 
    9100   -939.65332    48.455273   -891.19805    1735.4921   -10224.816    2.1337722    1.7418881    0.1651042 
    9200   -938.86761    50.970038   -887.89758    1825.5619   -2764.9663    2.1510368    4.8958038   0.18850706 
    9300   -944.09083    49.221232    -894.8696     1762.926    15925.708    2.2046355    3.2172021   0.15191115 
    9400   -942.96266    46.685122   -896.27754    1672.0918   -648.43479     2.165979    5.0110834    0.1715955 
    9500   -936.93673    45.545046   -891.39169    1631.2584   -9943.2426    2.1331626    2.2790857   0.16883825 
    9600     -937.599    54.394365   -883.20464    1948.2089    1704.6197    2.1572022    8.8598002   0.19038606 
    9700   -944.88847    51.864422   -893.02405    1857.5955    8117.3714    2.1914343    5.1209097   0.16439518 
    9800   -943.36851    47.041405   -896.32711    1684.8525   -4532.2499    2.1578386    5.2380421   0.14754542 
    9900   -942.88433    47.359203   -895.52512    1696.2349    -3151.296    2.1607311    2.3993457   0.14866632 
   10000   -930.09758    44.896586   -885.20099    1608.0329    7451.0154      2.16264    4.0417449   0.17835206 
   10100   -937.74507     45.71386   -892.03121    1637.3047    6985.9921     2.180474     5.552917   0.15785622 
   10200   -943.33852    46.814199   -896.52433    1676.7148   -5434.9212    2.1547911    5.9195785   0.15690293 
   10300   -944.78403    49.038062   -895.74596    1756.3656   -2749.4581    2.1611498    3.5640392   0.13356953 
   10400   -932.78201    47.130135   -885.65187    1688.0305    10031.663      2.16722    2.9569835   0.15492248 
   10500   -941.00381    48.807534   -892.19627    1748.1089    5622.3272    2.1693742    11.297964   0.16227352 
   10600   -943.43337    46.276357   -897.15701    1657.4513   -8717.2791    2.1436802    4.0395743   0.16645634 
   10700   -944.06923     48.92492   -895.14431    1752.3132    773.37475    2.1663176    4.9407879   0.13944542 
   10800   -938.68131    53.202767   -885.47854    1905.5302    9224.1216    2.1689991    6.6556804   0.15525852 
   10900   -940.28021    46.183077   -894.09714    1654.1103   -285.78185    2.1605666    4.8033292   0.16522866 
   11000   -943.85096    46.476037   -897.37492    1664.6031   -7955.2659    2.1457722    3.3486557   0.16345549 
   11100    -943.4406    50.252923   -893.18768    1799.8774    2772.1762    2.1712711     5.305003   0.16730591 
   11200   -942.63888    56.529759   -886.10912     2024.691    443.14991    2.1615445    3.9332561   0.16472928 
   11300   -946.63044    50.050478   -896.57996    1792.6266   -5222.6686    2.1575715     6.597695   0.14445108 
   11400   -941.59598    44.675902   -896.92007    1600.1288    -3432.438    2.1543349    4.8402028   0.15503923 
   11500   -945.21595    53.054059   -892.16189     1900.204    4435.0142    2.1791652    4.7542719    0.1598811 
   11600   -938.02267    52.129542   -885.89313    1867.0911    5438.5536    2.1646484    5.1452555    0.1389575 
   11700   -940.17604    47.323333   -892.85271    1694.9502    -17741.85    2.1169708    3.1637378   0.16574331 
   11800   -943.48874    46.946051   -896.54269    1681.4373   -1418.7595    2.1608419    5.1757352   0.14090474 
   11900   -942.71572    48.281251   -894.43447    1729.2593    21450.177     2.217489    5.3374358   0.13170537 
   12000   -946.66604    45.505439    -901.1606    1629.8398   -7514.1281    2.1588494    4.3690146   0.12264781 
   12100   -946.63443    46.141086   -900.49334    1652.6064    -12149.96    2.1477248    4.7056189   0.12702048 
   12200   -945.71997    52.754938   -892.96503    1889.4906    2404.1082    2.1765971    5.7881277   0.12517086 
   12300   -943.36206    47.839638   -895.52242    1713.4424    5142.0095    2.1793219    5.9333174   0.15079367 
   12400   -946.94491    47.092057   -899.85285    1686.6667   -9248.2993     2.155557    5.7137135   0.13703873 
   12500   -943.67036    50.951963    -892.7184    1824.9145   -746.78289    2.1653145    7.5159544   0.14286495 
   12600   -945.72744    54.404588   -891.32285     1948.575    5134.5279    2.1824869    4.1081323   0.12908063 
   12700   -944.70046    46.953756   -897.74671    1681.7133   -3773.5499    2.1595456      4.64727   0.13260628 
   12800   -942.57306    45.238895   -897.33417    1620.2932   -4830.0979    2.1536416    5.3739138   0.12545288 
   12900   -940.92509    53.222663   -887.70243    1906.2428    5902.8998    2.1703481    6.8711328   0.13194784 
   13000   -943.97715    48.273842   -895.70331    1728.9939    8055.6244    2.1830991    7.3081071   0.12581725 
   13100   -944.59594    46.695949   -897.89999    1672.4796   -9107.3498    2.1426111    14.200025   0.12442154 
   13200   -940.52588    49.592601   -890.93328    1776.2271   -1073.2047    2.1526166    19.157252   0.15662941 
   13300   -942.57079    43.799083    -898.7717    1568.7243    9007.2597    2.1905111    19.261134   0.16252567 
   13400   -944.33712    45.262972   -899.07415    1621.1555   -2429.0966    2.1639998    18.751411   0.15749285 
   13500   -942.43436    49.296661    -893.1377    1765.6276   -5678.5927    2.1478259    25.359037   0.15977674 
   13600   -944.79658    51.933283    -892.8633    1860.0618    -88.76823    2.1704058    24.856208   0.16064823 
   13700   -945.86151    44.418001   -901.44351    1590.8917    5341.1293    2.1879873    33.625689   0.12752811 
   13800   -941.05735    46.587337   -894.47001    1668.5895   -4631.4751    2.1530887     36.74295   0.15864691 
   13900   -936.25199    42.939277   -893.31271    1537.9292    431.41909    2.1544469    32.217508   0.16594141 
   14000   -947.87945    46.487454     -901.392     1665.012    4140.0167    2.1815623    34.372692   0.13859531 
   14100   -944.35118    49.488966   -894.86221    1772.5153    2453.5107    2.1699796    36.896838   0.12663784 
   14200   -944.39541     50.63938   -893.75604    1813.7189   -4974.2536    2.1567822     37.72191   0.12009953 
   14300   -948.93011     47.55995   -901.37016    1703.4249    -4888.768    2.1703747    33.049435   0.13149585 
   14400   -942.72092    47.656972   -895.06395    1706.8999    4674.0928    2.1741389    33.560251   0.12821655 
   14500   -940.64665    47.667372   -892.97928    1707.2724    1617.8449    2.1650285    34.180361   0.15219552 
   14600   -943.72332    42.729455   -900.99387    1530.4141   -813.78718    2.1706106    35.280049   0.14282147 
   14700   -941.11421     45.97883   -895.13538    1646.7949    436.46344     2.169749    34.548535   0.14958043 
   14800   -942.35862    50.325127   -892.03349    1802.4635    2950.7883    2.1764067    33.717875   0.15491293 
   14900   -948.95322    48.587879   -900.36534    1740.2416   -3887.7669     2.170933    34.481892   0.13369314 
   15000   -943.37123    48.014696   -895.35653    1719.7123   -6837.2639    2.1540896     33.83573   0.14452856 
   15100   -937.87156    47.168152    -890.7034    1689.3921    9087.1643    2.1814218    34.517813   0.14804422 
   15200   -946.25461    47.153497   -899.10111    1688.8672    6282.8139    2.1911551    38.501912   0.13997824 
   15300   -942.51055    46.142927   -896.36762    1652.6723   -10294.018    2.1415671    36.633975   0.12625954 
   15400   -938.58542    47.211194   -891.37423    1690.9337    141.81686    2.1566849    35.626347   0.13843207 
   15500   -949.40258    50.465941   -898.93664     1807.507    10966.224    2.2080129    35.130164    0.1395816 
   15600   -943.62598    45.098506   -898.52747    1615.2649   -2001.4051     2.166812    36.032046    0.1437984 
   15700   -940.56227    47.987669    -892.5746    1718.7443    -9764.956    2.1351987    34.441247    0.1449481 
   15800   -945.66211    46.340668   -899.32144    1659.7547    7855.5492    2.1937747    35.835677   0.13006248 
   15900   -950.42997    50.819797   -899.61017    1820.1808    2992.5228    2.1956017    33.124519   0.13199428 
   16000   -946.05117    52.716802   -893.33437    1888.1247   -9692.0856    2.1480002    36.139346    0.1190428 
   16100   -944.35531    46.327792   -898.02752    1659.2935   -3656.3706    2.1625659    36.629726   0.13680773 
   16200   -947.26817    46.900093   -900.36808    1679.7912    5986.6856    2.1981698    33.986905   0.13377606 
   16300   -938.41873    46.198252   -892.22048    1654.6538    3614.2376    2.1660775    37.372914    0.1208452 
   16400   -944.05258     46.45693   -897.59565    1663.9188   -5101.9647    2.1590016    37.965749   0.14569484 
   16500   -944.22506    44.050243   -900.17481      1577.72    3952.7247    2.1815958    36.584414   0.12501134 
   16600   -941.01335    50.067396   -890.94595    1793.2325     1873.263    2.1696028    37.101595   0.14526818 
   16700   -943.84799     46.59367   -897.25432    1668.8163   -456.64129    2.1707492     36.47088   0.14686248 
   16800   -947.47901    48.023356   -899.45565    1720.0225   -2952.3095     2.170266    35.493187   0.12442706 
   16900   -937.96188     47.56053   -890.40135    1703.4457    1566.3463    2.1597098    37.708098   0.13599758 
   17000   -945.32192    47.248037   -898.07388    1692.2534     2148.537    2.1783137    33.795484   0.12845601 
   17100   -945.66291     46.39755   -899.26536     1661.792      -347.61    2.1694092    33.060491   0.13237067 
   17200   -942.22262    50.581123    -891.6415    1811.6324   -2499.1654    2.1566035    34.603149   0.13515125 
   17300   -946.85136    47.432341   -899.41902    1698.8545   -597.59654    2.1811304    39.321586   0.12362749 
   17400   -945.40263    46.085362   -899.31727    1650.6105    675.87418    2.1759021    39.275183   0.12502854 
   17500   -939.96928    47.715016   -892.25427    1708.9788    1442.9214    2.1602348    34.099183   0.12432296 
   17600   -945.09243     45.46051   -899.63192    1628.2306    717.11725    2.1778922    35.199128   0.13836396 
   17700   -946.25626    46.138824   -900.11744    1652.5253    494.82892    2.1782553    34.192002   0.13445257 
   17800    -945.1103    52.237608    -892.8727    1870.9617   -2925.1487    2.1642939    36.108236   0.14132062 
   17900   -947.55036    48.231707   -899.31865    1727.4848   -3273.4746    2.1737223    34.537275    0.1428054 
   18000    -946.4267     46.28981   -900.13689    1657.9331    1974.8865     2.181472    32.162545   0.13675002 
   18100   -943.82559    51.709454   -892.11614    1852.0451   -3234.2217    2.1642154    31.784468   0.14415044 
   18200   -946.81746     47.86583   -898.95163    1714.3804    -2271.109     2.172693    34.938412   0.13390789 
   18300   -945.97289    47.040943   -898.93195     1684.836    1509.5932    2.1817446    31.590244   0.12577991 
   18400   -939.10097    48.238225   -890.86274    1727.7183    -775.3533    2.1631733    35.373858   0.14881821 
   18500   -943.79989    44.880521   -898.91937    1607.4575   -537.12837    2.1735044    35.459775    0.1376637 
   18600   -948.47784    50.018219   -898.45962    1791.4712   -1042.4904    2.1772822    34.288037   0.13349524 
   18700   -940.62468    50.371365   -890.25332    1804.1196   -1919.2099    2.1606675    34.772742   0.14924181 
   18800   -947.81096    49.185748   -898.62521    1761.6551   -1896.6653    2.1774343     34.98999   0.14709812 
   18900   -943.46379    45.083494   -898.38029    1614.7273   -525.83316    2.1715101    36.439948   0.14597733 
   19000    -939.8641     48.79481   -891.06929    1747.6531   -2620.4075    2.1607746    38.178896   0.15431634 
   19100   -947.54203    47.874865   -899.66716     1714.704    305.44347    2.1837574    38.905168     0.141226 
   19200   -943.19657    44.532218   -898.66435    1594.9825   -679.91506    2.1703003    34.702332   0.14471256 
   19300   -940.23925    47.864293   -892.37495    1714.3254   -1207.4806    2.1575682    35.583432   0.14434276 
   19400   -950.54736    49.901537   -900.64583    1787.2921    808.04801    2.1848587     34.28564   0.14813713 
   19500   -946.30036    47.245588   -899.05477    1692.1656   -210.31339    2.1769584    36.409821   0.14029721 
   19600   -942.09483    48.989785   -893.10505    1754.6364   -2787.4079    2.1595295    36.343478   0.14091547 
   19700   -947.74539    47.485038   -900.26035    1700.7419   -2730.0829    2.1710492    37.517407   0.13209291 
   19800   -948.78532    49.389214    -899.3961    1768.9425    1903.3302    2.1859219    36.056021   0.14136596 
   19900   -937.27277    45.088752   -892.18402    1614.9156    4619.0475    2.1665055    38.597331   0.13993385 
   20000   -941.22519    41.761636   -899.46355    1495.7503   -2558.3046    2.1621729    37.447764   0.13099552 
   20100   -948.84838    50.116789   -898.73159    1795.0016   -2073.7881    2.1723136    35.261316   0.12809408 
   20200    -942.7468    51.977718   -890.76908    1861.6533    3943.8164    2.1756637    36.931585   0.12500456 
   20300   -947.31407    49.002251   -898.31182    1755.0829   -5480.9907    2.1638209    38.422841   0.13916428 
   20400   -941.90556    43.081851    -898.8237    1543.0357   -5771.8572    2.1542174    35.727085   0.13601149 
   20500   -938.97892    49.253268   -889.72566    1764.0734    3106.3843    2.1682531     36.80452   0.13993837 
   20600   -947.52298    50.706966   -896.81602    1816.1396    6635.6227    2.1934125    37.859002   0.13143741 
   20700   -947.44975     47.54297   -899.90678    1702.8168   -9948.8989    2.1512602    33.571245   0.13284371 
   20800   -935.59792    43.443294   -892.15462    1555.9812    -4657.361    2.1428327    35.616792   0.12947217 
   20900   -942.54051    44.734658   -897.80585    1602.2332    13896.626    2.2039543    35.383042   0.14980964 
   21000   -946.11897    46.132968     -899.986    1652.3156    1936.7723    2.1819207    33.052402   0.12104335 
   21100   -944.30593    49.547576   -894.75835    1774.6145   -10499.554    2.1443699    34.544791   0.12736001 
   21200    -944.2873    51.242172   -893.04513    1835.3088   -653.20302    2.1686219    32.532694    0.1286978 
   21300   -947.53889    46.447206   -901.09168    1663.5705    11260.495    2.2072501      32.4039   0.13007316 
   21400   -943.22547    48.488956   -894.73651    1736.6985   -5670.5828    2.1563763    37.199845   0.12612616 
   21500   -942.50045      48.1626   -894.33785    1725.0097   -5484.3166    2.1520709     33.61672   0.13968402 
   21600   -947.11832    45.539064   -901.57925    1631.0441    5113.9171    2.1881971     33.87879   0.12783014 
   21700    -942.9505    49.027126   -893.92337    1755.9739    4118.3002    2.1738825    34.851122   0.13632932 
   21800   -944.75986    50.301039   -894.45882    1801.6008   -6037.6814    2.1612908    38.268815   0.13805964 
