LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000976145 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1500   -951.04357            0   -909.16328   -115839.99    5330.9442 
    3200    1540.4495   -949.20242            0   -906.19277    4909.7997    4589.8244 
Loop time of 2.2792 on 1 procs for 3200 steps with 217 atoms

Performance: 363.917 ns/day, 0.066 hours/ns, 1404.000 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2305     | 2.2305     | 2.2305     |   0.0 | 97.86
Neigh   | 0.0011485  | 0.0011485  | 0.0011485  |   0.0 |  0.05
Comm    | 0.013408   | 0.013408   | 0.013408   |   0.0 |  0.59
Output  | 2.6449e-05 | 2.6449e-05 | 2.6449e-05 |   0.0 |  0.00
Modify  | 0.02927    | 0.02927    | 0.02927    |   0.0 |  1.28
Other   |            | 0.004868   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4154 ave 4154 max 4154 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8308 ave 8308 max 8308 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8308
Ave neighs/atom = 38.2857
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.656 | 9.656 | 9.656 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -949.20242    43.009644   -906.19277    1540.4495    4909.7997    2.1973189            0 4.5751536e-32 
    6700   -951.53494    41.271916   -910.26303    1478.2104   -5297.9826    2.1787904   0.19343357    0.1139078 
    6800   -949.39414    39.953975   -909.44017    1431.0065   -10058.411    2.1629161  0.094471073   0.12918323 
    6900   -951.76885    44.897447    -906.8714    1608.0637    -617.2214    2.1864531  0.032971312    0.1176245 
    7000   -946.70391    39.839487   -906.86443    1426.9059    10573.715    2.2070118   0.47042451   0.12486128 
    7100   -954.22272    39.644473   -914.57825    1419.9212    2770.3069    2.2048335   0.20900035   0.11834961 
    7200   -952.28951    41.372101   -910.91741    1481.7986   -4809.3426    2.1798964   0.11429895   0.12492496 
    7300   -948.10309    39.962811   -908.14028     1431.323   -888.04452      2.18188   0.13400017   0.12807754 
    7400   -949.17364    40.381647     -908.792    1446.3241    2108.5362    2.1947405  0.087513278   0.11870301 
    7500    -956.2632     40.07201   -916.19119    1435.2341    6066.6936    2.2157992   0.27360609   0.10866917 
    7600   -950.04857    40.578987   -909.46958    1453.3921   -285.40326    2.1839493    0.3012541   0.11504268 
    7700   -950.24758     41.83418    -908.4134    1498.3486   -7930.5527    2.1690101   0.25975377   0.12677843 
    7800   -951.89179    38.760937   -913.13085    1388.2762     377.0739     2.193526  0.078405802   0.12839571 
    7900   -954.55472    40.518911   -914.03581    1451.2404    10266.099    2.2241095   0.14423993   0.10934197 
    8000   -947.26609    40.124447   -907.14164    1437.1122    6158.6919     2.196446   0.14911233   0.12355861 
    8100   -946.47194    36.965166   -909.50677    1323.9582   -15006.491    2.1439221   0.15696094   0.14198213 
    8200   -952.75324    41.884461   -910.86878    1500.1495   -9719.8982    2.1654689   0.06970936   0.11028461 
    8300   -956.03098    36.287282    -919.7437    1299.6788    16656.036    2.2454624  0.015700402   0.12450434 
    8400   -952.53052    38.844779   -913.68574    1391.2791    6541.0244    2.2105116   0.30620735   0.13232932 
    8500   -954.41884    43.736839     -910.682     1566.495   -9133.4292    2.1722075   0.66115021   0.11996307 
    8600   -950.03619    41.171478   -908.86471     1474.613   -5654.5369    2.1720471   0.59647708   0.12295286 
    8700   -949.08401    42.667075   -906.41693    1528.1799    5563.0946    2.1946865   0.24532236   0.12685005 
    8800   -944.34031    47.515579   -896.82473    1701.8357    5594.2245    2.1799415   0.39927628   0.13808165 
    8900   -950.05455    43.788949    -906.2656    1568.3614   -476.46593    2.1849299  0.086747679   0.12772635 
    9000   -950.87748    42.003682    -908.8738    1504.4196   -4999.4951    2.1763436   0.13692794   0.13336072 
    9100   -948.53552    38.279446   -910.25607    1371.0309     192.3624     2.183088   0.29515399   0.13038704 
    9200   -956.90917     42.32646   -914.58271    1515.9803     1968.366    2.2066737  0.049398178   0.12077693 
