LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000983412 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1376.7788   -954.18499            0   -915.74506    6857.5654    4558.2301 
Loop time of 2.30159 on 1 procs for 3200 steps with 217 atoms

Performance: 360.377 ns/day, 0.067 hours/ns, 1390.342 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.253      | 2.253      | 2.253      |   0.0 | 97.89
Neigh   | 0.0012455  | 0.0012455  | 0.0012455  |   0.0 |  0.05
Comm    | 0.013353   | 0.013353   | 0.013353   |   0.0 |  0.58
Output  | 2.9279e-05 | 2.9279e-05 | 2.9279e-05 |   0.0 |  0.00
Modify  | 0.02917    | 0.02917    | 0.02917    |   0.0 |  1.27
Other   |            | 0.004808   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4196 ave 4196 max 4196 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8392 ave 8392 max 8392 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8392
Ave neighs/atom = 38.6728
Neighbor list builds = 2
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.658 | 9.658 | 9.658 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -954.18499    38.439927   -915.74506    1376.7788    6857.5654    2.2125491            0 2.410979e-32 
    6700   -952.51725    37.677112   -914.84013    1349.4575    486.00708    2.1945134  0.040260451   0.10432343 
    6800   -947.65811    40.688881   -906.96923    1457.3282    7553.1032    2.2045165 0.0044275349   0.11894288 
    6900   -952.32938    39.029733   -913.29965    1397.9035    5735.0409    2.2080863  0.057971549   0.10635146 
    7000   -954.99848    39.531362   -915.46712      1415.87   -4254.2887    2.1896278  0.071600908    0.1057143 
    7100   -950.97004    42.726537    -908.2435    1530.3096   -7697.0908     2.168026  0.062916785   0.11218243 
    7200   -950.36241    38.356155   -912.00626    1373.7784    2945.1307    2.1946354 0.0072935538   0.11557403 
    7300   -952.44348    37.526315   -914.91717    1344.0565    6485.6279    2.2128027  0.084400278    0.1197518 
    7400    -951.8778    39.697323   -912.18047    1421.8142    3163.1107    2.2010887   0.17309707   0.10787238 
    7500   -948.44995    40.228571   -908.22138    1440.8415   -5676.7757    2.1708442   0.14846388   0.11904936 
    7600   -954.21126    37.003519   -917.20775    1325.3319    -2612.458    2.1887799   0.33787118   0.10061136 
    7700   -952.73484    37.874243    -914.8606     1356.518    3371.1384    2.2029929   0.12075783   0.10758437 
    7800   -951.91601     40.48863   -911.42738    1450.1559    7621.4396    2.2115665   0.14990423    0.1098483 
    7900   -956.40832    40.543122   -915.86519    1452.1076   -2331.5653    2.1944586   0.10286896  0.093578873 
    8000   -955.06003      36.5788   -918.48123      1310.12    -13852.79    2.1660962  0.025509041   0.10251497 
    8100   -951.18499    37.596727   -913.58826    1346.5784   -3252.7771    2.1817169    0.1284787   0.10660228 
    8200   -953.92157     42.24993   -911.67164    1513.2393      11753.6     2.223893  0.040227765   0.11067524 
    8300     -956.946     37.90925   -919.03675    1357.7719    11767.151    2.2301582  0.058939351   0.11161731 
    8400   -952.59111    37.973827   -914.61728    1360.0848   -5454.5281    2.1803157  0.097839255   0.10972926 
    8500   -953.61523    41.001699   -912.61353    1468.5322   -10400.983    2.1700609  0.035474358   0.11422079 
    8600   -955.82869    40.648762   -915.17993    1455.8912   -1146.4734    2.1973797   0.19127084   0.10951427 
    8700   -955.58522    36.326831   -919.25839    1301.0953     7480.848    2.2221599  0.028510921   0.10809373 
    8800   -951.31734    40.939244   -910.37809    1466.2952   -280.77038    2.1894477  0.062202498   0.10426019 
    8900   -952.86082    40.044307   -912.81651    1434.2419   -4120.9054    2.1860051    0.0293497   0.10986255 
    9000   -954.50986    38.558422   -915.95143    1381.0229   -1868.8617    2.1955361  0.076186578   0.09856138 
    9100   -953.44924      37.3572   -916.09204    1337.9994    5319.2649    2.2067291   0.42690301  0.093274084 
    9200   -949.72736    40.965026   -908.76234    1467.2187    -1024.121    2.1899263  0.057568121   0.12111583 
    9300   -953.59036    39.964298   -913.62606    1431.3762   -3190.6963    2.1893114    0.1453595   0.10639275 
    9400   -954.32367    38.563152   -915.76052    1381.1923   -2244.4893    2.1924409  0.098026226   0.10560394 
    9500   -950.14413    42.021197   -908.12293    1505.0469    3442.5455     2.196144   0.09741735   0.11695451 
    9600   -952.08717    40.121426   -911.96575     1437.004    7284.4954    2.2147579  0.088643091   0.11878568 
    9700   -953.05885    37.649035   -915.40981    1348.4519   -2546.9051    2.1896929   0.13591407   0.10731006 
    9800   -950.27124    38.407769   -911.86347     1375.627   -11790.888    2.1589802  0.049891805   0.10841447 
    9900   -949.39122    41.697636   -907.69358    1493.4581   -4202.1098    2.1756312  0.032773302   0.11032051 
   10000   -955.44899    40.016285    -915.4327    1433.2382    14647.185    2.2343005  0.043155903  0.092634483 
   10100   -952.87848    39.664157   -913.21432    1420.6262    9980.0297    2.2184342     0.100096  0.096244086 
   10200   -952.63888    41.817718   -910.82116     1497.759   -8121.9567    2.1712774   0.14449694  0.099477979 
   10300   -955.03514    35.853428   -919.18171    1284.1398    -8122.012    2.1828115  0.063791668  0.095282273 
   10400   -954.88805    39.488559   -915.39949     1414.337   -1549.3608    2.1959292    0.1234151  0.096685579 
   10500   -950.97928    39.813641   -911.16564    1425.9802    7291.7644    2.2111839  0.058557056   0.10270094 
   10600   -955.76421    38.565047   -917.19916    1381.2601    2111.5692    2.2075858  0.025311233  0.099074727 
   10700   -956.02345    38.771353    -917.2521    1388.6493   -4592.7525    2.1898998   0.13575526   0.10000207 
   10800   -950.44952    38.442475   -912.00705    1376.8701   -2192.5039    2.1847496 0.0098426338   0.10187504 
   10900    -954.1472    38.912992   -915.23421    1393.7222    340.04868    2.2003533  0.068752332  0.090750947 
   11000   -958.41418    39.540606   -918.87357    1416.2011    4416.2181     2.216779   0.11937601  0.087801373 
   11100     -952.972    42.533327   -910.43867    1523.3895   -1296.8686    2.1892515  0.053377352   0.10307485 
   11200   -952.42624    38.681899   -913.74434    1385.4454   -4423.0903    2.1818017    0.1560015  0.093566336 
   11300   -957.36928     40.30257   -917.06671    1443.4919   -3155.3822    2.1933294  0.048536516  0.092846535 
   11400   -953.32311    43.508838   -909.81427    1558.3288    6476.5505     2.206809  0.050619314  0.086176817 
   11500    -954.7133    44.038241   -910.67506    1577.2901    11512.525    2.2231633  0.069491465  0.091273657 
   11600   -953.92566    38.288831   -915.63683    1371.3671   -3686.8666    2.1877219   0.14041504   0.10434814 
   11700   -951.77588    39.558673   -912.21721    1416.8482    -15878.48    2.1511527   0.18349359   0.10090672 
   11800   -950.69395    42.418635   -908.27532    1519.2817   -6134.8821    2.1719121  0.043771756  0.096411518 
   11900   -955.50278    40.717732   -914.78505    1458.3615    12169.421    2.2287908  0.012010142  0.095298552 
   12000   -955.19216    41.253856   -913.93831    1477.5635    7832.8045    2.2183059   0.02923651   0.10281604 
   12100   -950.69361    42.050623   -908.64298    1506.1008   -6510.4833    2.1750639   0.15108972   0.11274134 
   12200    -955.7295     39.02047   -916.70903    1397.5717   -6101.9229    2.1853972  0.041431773  0.089095075 
   12300   -953.32593    38.244124    -915.0818    1369.7658   -239.52917    2.1962386   0.13744526   0.10488701 
   12400   -950.19775    39.888058   -910.30969    1428.6456     4858.422    2.2024092  0.051903613   0.10481039 
   12500   -951.54958    34.704718   -916.84487    1242.9971    5206.4803    2.2083168   0.10897884   0.10904206 
   12600   -955.26462      38.5833   -916.68132    1381.9139   -4252.2629    2.1898843   0.10080457  0.098489316 
   12700   -949.71842    37.845918   -911.87251    1355.5035   -2816.1521    2.1797466   0.21731829  0.091660712 
   12800   -954.60652    39.293318    -915.3132    1407.3441    1110.9649    2.2000623   0.19072662  0.095010927 
   12900   -958.19104    39.979639    -918.2114    1431.9257    6397.0548    2.2193431  0.015827773   0.08795728 
   13000   -951.51381      40.2134   -911.30041    1440.2982    2996.2367    2.1962449  0.031270332  0.098171009 
   13100    -953.3603    38.665229   -914.69508    1384.8483   -7882.8411    2.1770211   0.17988305  0.097327799 
   13200   -956.36765    37.065664   -919.30198    1327.5577   -8557.3195    2.1839105  0.091819825  0.093558059 
   13300   -954.93881    43.535473   -911.40334    1559.2828    3197.0357    2.2038688   0.18631807  0.096533839 
   13400   -955.30834    43.357917   -911.95042    1552.9233    14067.251    2.2324852 0.0069282561   0.10639102 
   13500   -956.07631    39.280463   -916.79585    1406.8837    3937.6004    2.2049136   0.19465788  0.096643809 
   13600   -951.65259     42.23585   -909.41674     1512.735   -15561.306    2.1530204   0.23360926  0.099439463 
   13700   -951.15824    39.851259   -911.30698    1427.3276    -6765.215    2.1741538    0.1694723  0.099115276 
   13800   -954.81235    39.582754   -915.22959    1417.7107    6275.2935    2.2111047  0.021451022  0.085465719 
   13900   -953.99712    40.867787   -913.12933    1463.7359     7482.159    2.2095681 0.0073682678  0.090910123 
   14000   -950.28918    42.114046   -908.17513    1508.3724   -2471.5306    2.1772076   0.12233153   0.10154642 
   14100   -953.97467     38.05938   -915.91528     1363.149    -2708.039    2.1858763  0.031602014   0.09284799 
   14200   -953.24168    39.704476   -913.53721    1422.0703    1322.6102    2.1937537 0.0078027643   0.10130259 
   14300    -949.4751    41.304207   -908.17089    1479.3669     2897.367    2.1924672  0.027650764  0.098947475 
   14400   -955.01889    38.404516   -916.61438    1375.5105    1573.1115    2.2029321   0.17229256    0.1051179 
   14500   -953.50119    38.564874   -914.93631    1381.2539   -4086.0321    2.1834531   0.14058643   0.10660881 
   14600   -952.42485    41.524259   -910.90059    1487.2484   -5832.9154    2.1763636   0.12373597   0.09482103 
   14700    -954.7039    36.464982   -918.23891    1306.0434    5523.3253    2.2085602  0.036603275  0.091306526 
   14800   -954.45866    38.234282   -916.22438    1369.4133    6041.1329    2.2111039  0.014964872  0.086469988 
   14900   -950.76829    39.064236   -911.70405    1399.1393    792.45717    2.1900986  0.046705394  0.096463342 
   15000   -952.99448    37.604192   -915.39029    1346.8458   -8416.0564    2.1748276  0.012047833   0.10178037 
   15100   -956.10206    37.205365   -918.89669    1332.5613   -3212.4233    2.1930415  0.057396283  0.090658487 
   15200   -952.43736    41.056509   -911.38085    1470.4953    9136.7186    2.2166449  0.029816927   0.10922762 
   15300   -952.51519    39.395125   -913.12007    1410.9905    11833.456    2.2193457   0.10174373   0.10370991 
   15400   -957.78089    39.023667   -918.75723    1397.6862   -7595.8139     2.185865   0.10050831   0.10218756 
   15500   -948.84612    38.230863   -910.61525    1369.2909    -12246.04    2.1571268   0.14896889   0.12149579 
   15600    -956.8954    44.724479   -912.17092    1601.8687   -649.74202    2.1973692   0.16668256  0.097301607 
   15700   -951.66051    36.301223   -915.35929    1300.1782    12225.095    2.2249338  0.097141004   0.10334681 
   15800   -954.31771    43.443098   -910.87461    1555.9742    2027.2523    2.2006426  0.010758235   0.11148063 
   15900   -951.12706    40.877223   -910.24984    1464.0739   -6285.4107    2.1751458   0.16086048   0.10575099 
   16000   -953.61833    37.278474   -916.33985    1335.1797   -5403.6446    2.1879062   0.45924544   0.11216537 
   16100   -949.96531    39.118391   -910.84691    1401.0789    2134.6515    2.1954155   0.81071495   0.11183589 
   16200   -951.42058    42.225402   -909.19518    1512.3608    2381.5546    2.1957663    1.4231875   0.11157754 
   16300   -957.02991    40.639253   -916.39066    1455.5507    936.65053    2.2053101    5.1870344   0.13507412 
   16400   -951.99853    40.304194   -911.69434    1443.5501   -2022.8283    2.1861169    6.3782774   0.14123413 
   16500    -950.4026    40.141187   -910.26141    1437.7118   -2774.7574    2.1823665    7.2612154   0.14022849 
   16600    -955.1165    38.439695   -916.67681    1376.7705   -109.11314    2.2028165     8.839663    0.1292829 
   16700   -947.79616    37.428086   -910.36808    1340.5383    5175.9239     2.197736    6.0089181   0.12979809 
   16800   -953.14959    41.585301   -911.56429    1489.4347   -1205.1113    2.1878448    5.3484463   0.11295784 
   16900   -955.46179     38.14383   -917.31796    1366.1737   -6000.9625    2.1883181    6.0695061    0.1141756 
   17000   -951.22439    40.667447   -910.55694    1456.5605   -3530.7183    2.1762722    6.2618337   0.12194228 
   17100    -950.8983    39.474994    -911.4233    1413.8511    7668.5551    2.2021048    4.3449471   0.11645083 
   17200   -958.48016    42.933147   -915.54702    1537.7096    9555.6197    2.2195826     6.871948   0.10464877 
   17300    -950.5094    41.429125   -909.08027     1483.841   -3402.2879    2.1775327    4.7073617   0.11420526 
   17400   -950.71347     39.41239   -911.30108    1411.6089   -8695.0327    2.1633929    6.1579461   0.11400729 
   17500   -955.71726    40.092426   -915.62484    1435.9653   -4651.6271    2.1860586    6.6738146   0.10377791 
   17600   -951.65203    42.994001   -908.65803    1539.8892    7543.6723    2.2018695    5.7394956   0.10971773 
   17700   -952.29648    37.773271   -914.52321    1352.9016    8517.2717    2.2122138    6.0308993   0.11075794 
   17800   -955.52931    38.914087   -916.61522    1393.7615   -5869.3017    2.1851805    6.9727148   0.10875432 
   17900   -948.70363    37.941651   -910.76198    1358.9324   -8005.6673      2.16667    5.5751164   0.10360893 
   18000   -953.76993    38.229644   -915.54029    1369.2472   -115.68807     2.196625    6.3806391  0.094803129 
   18100   -957.68881    41.145298   -916.54352    1473.6754    6770.1622     2.220097    6.4438462  0.091695438 
   18200   -950.84457    40.170488   -910.67408    1438.7612    4772.6245    2.2023276    7.1389833  0.093990677 
   18300   -952.71662    37.580676   -915.13595    1346.0035   -4017.9119    2.1834555    5.9326131  0.090889883 
   18400   -955.54005    37.657235   -917.88281    1348.7456   -6454.7745      2.18585    5.8317984  0.090675082 
