LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00106072 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1550   -951.04357            0   -907.76727   -115560.29    5330.9442 
    3200     1583.653   -950.22865            0   -906.01275    1628.5246    4608.1245 
Loop time of 2.27896 on 1 procs for 3200 steps with 217 atoms

Performance: 363.956 ns/day, 0.066 hours/ns, 1404.152 timesteps/s
99.9% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2129     | 2.2129     | 2.2129     |   0.0 | 97.10
Neigh   | 0.017799   | 0.017799   | 0.017799   |   0.0 |  0.78
Comm    | 0.013894   | 0.013894   | 0.013894   |   0.0 |  0.61
Output  | 2.5456e-05 | 2.5456e-05 | 2.5456e-05 |   0.0 |  0.00
Modify  | 0.029386   | 0.029386   | 0.029386   |   0.0 |  1.29
Other   |            | 0.004968   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    953 ave 953 max 953 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 30
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -950.22865    44.215893   -906.01275     1583.653    1628.5246    2.1885928            0 7.6184795e-32 
    6700   -946.86035    41.403374   -905.45697    1482.9187    319.36517    2.1798849  0.039617376    0.1012462 
    6800   -950.20459    38.515124   -911.68947    1379.4721    4123.1341    2.1977295  0.062129631     0.103626 
    6900   -949.49923    43.067222   -906.43201    1542.5117    441.40166    2.1880432   0.14890533   0.12563477 
    7000    -946.3071    42.103569   -904.20353    1507.9972    1628.3093    2.1836915    0.1215471   0.12068206 
    7100   -949.00571    41.314244   -907.69146    1479.7264   -2151.0586    2.1803502   0.11183675   0.12294726 
    7200   -950.48764    41.114696   -909.37294    1472.5793   -2082.2776    2.1834769   0.24602582   0.11169949 
    7300   -945.54611    45.651913    -899.8942     1635.086   -1224.4542    2.1744795   0.10346224   0.11497188 
    7400   -945.67383     41.36071   -904.31312    1481.3906    9128.9952    2.1992574   0.36359126   0.11480905 
    7500   -948.13471    40.310523   -907.82419    1443.7767    1640.6734    2.1882321  0.043124047    0.1145015 
    7600   -946.15332    44.081231   -902.07209    1578.8298    -6611.011    2.1600769  0.025762489   0.11555504 
    7700   -948.68187    47.539091   -901.14278    1702.6778   -1656.9063    2.1749022   0.02786391   0.10216029 
    7800   -948.57458    41.814102   -906.76048    1497.6295    8052.3981    2.2037612 0.0042192609      0.10851 
    7900   -951.56218    45.275542   -906.28664    1621.6057    848.33334    2.1901292   0.23535734   0.10429015 
    8000   -945.57879    47.136883   -898.44191    1688.2722   -10702.997    2.1466066   0.18763237   0.13909446 
    8100   -948.53639    41.445358   -907.09104    1484.4224   -189.42877    2.1811067   0.11309214   0.11899738 
    8200   -949.16646    42.471611   -906.69485    1521.1791    8314.0777    2.2049142   0.10137081   0.11234933 
    8300   -949.93958    45.521212   -904.41837    1630.4047    1153.5638    2.1874312   0.03536833   0.11452467 
    8400   -946.37752     47.55833   -898.81919    1703.3669   -9088.8575    2.1458675  0.037263376   0.10245782 
    8500   -950.65149    41.643999   -909.00749     1491.537    1340.1475      2.18835  0.014425048   0.10647399 
    8600   -952.79776    45.784902   -907.01286    1639.8492    7032.5792    2.2064565   0.17053951   0.11490366 
    8700   -948.35272    45.065854   -903.28686    1614.0955    63.471466    2.1787947   0.17915346   0.10879239 
    8800   -942.89362    40.409963   -902.48366    1447.3383   -11095.903    2.1447094  0.074803464   0.12878162 
    8900   -952.82852    40.749254   -912.07926    1459.4905   -224.77214    2.1911995     1.645121   0.12299083 
    9000   -949.76117    45.114032   -904.64714     1615.821    14719.163    2.2200932    8.9114951   0.13084703 
    9100   -947.48955     44.12281   -903.36674     1580.319   -203.45881    2.1833175    8.7730401   0.14493797 
    9200    -945.6038     38.43462   -907.16918    1376.5887   -8604.3091    2.1554805    12.227479   0.11601935 
    9300   -954.43734     44.08115   -910.35619    1578.8269   -3080.1201    2.1868456    10.846924   0.10395921 
    9400    -946.4209    43.733049   -902.68785    1566.3592    7352.9112    2.1946989    13.916724   0.10816982 
    9500   -950.54695    43.622281   -906.92467    1562.3919   -336.43373    2.1882822    15.226191    0.1013081 
    9600   -950.33871    39.597498   -910.74121    1418.2388   -2726.5897    2.1817704    16.671261   0.11416979 
    9700   -945.69643    44.165268   -901.53116    1581.8397   -3047.7354    2.1707017    15.975109    0.1106513 
    9800   -950.29089    45.958712   -904.33218    1646.0744    4618.5505    2.1972837    16.444571   0.10930237 
    9900   -950.11903    41.899264   -908.21976    1500.6797    1782.8709    2.1903001    12.034137   0.11441452 
   10000   -944.34463    42.182065   -902.16257    1510.8086   -2373.3454    2.1658884    12.383676   0.12230327 
   10100    -947.4124    45.453984   -901.95841    1627.9969   -2452.7566    2.1731523    14.158028   0.12162281 
   10200   -950.51983    43.081598   -907.43823    1543.0266    2634.2297    2.1925554     14.43627   0.12401563 
   10300    -946.4505    41.479769   -904.97073    1485.6549    3470.2376    2.1906215     13.94328   0.11409396 
   10400   -943.54066    44.811003   -898.72966    1604.9676   -3734.0293    2.1611984    15.839409   0.10560016 
   10500   -948.71579      40.3087   -908.40709    1443.7115   -529.28063    2.1826081    13.610886   0.11086857 
   10600   -949.40594    42.958708   -906.44723    1538.6251    5798.9509    2.2008189    14.633747   0.10517545 
