LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000964665 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1289.2431   -956.35675            0   -920.36084    11361.583    4525.7106 
Loop time of 2.3382 on 1 procs for 3200 steps with 217 atoms

Performance: 354.734 ns/day, 0.068 hours/ns, 1368.574 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2729     | 2.2729     | 2.2729     |   0.0 | 97.21
Neigh   | 0.017244   | 0.017244   | 0.017244   |   0.0 |  0.74
Comm    | 0.014045   | 0.014045   | 0.014045   |   0.0 |  0.60
Output  | 2.4099e-05 | 2.4099e-05 | 2.4099e-05 |   0.0 |  0.00
Modify  | 0.029283   | 0.029283   | 0.029283   |   0.0 |  1.25
Other   |            | 0.004753   |            |       |  0.20

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4321 ave 4321 max 4321 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8642 ave 8642 max 8642 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8642
Ave neighs/atom = 39.8249
Neighbor list builds = 29
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -956.35675    35.995915   -920.36084    1289.2431    11361.583    2.2284474            0 6.8249251e-32 
    6700   -957.03726    36.166311   -920.87095    1295.3461   -6064.5427    2.1876483   0.21129378  0.088039087 
    6800   -956.58885    35.798745    -920.7901    1282.1812    1489.8839    2.2074892  0.080129163   0.08227885 
    6900   -954.37342    39.586445   -914.78697    1417.8429    7719.8255    2.2175816   0.09169024  0.083252963 
    7000   -955.72959    40.964141   -914.76545     1467.187    1075.3747    2.2000151   0.10767598  0.085252362 
    7100   -951.13085    33.909572   -917.22128    1214.5179   -5769.7855    2.1793851   0.19820114   0.10539032 
    7200   -957.57064    33.820995   -923.74964    1211.3454   -4985.6334    2.1932421   0.22738796  0.099323985 
    7300   -955.23842    39.319088   -915.91933    1408.2671    2569.5392    2.2038872   0.22365357   0.10405069 
    7400   -955.21893    40.536147   -914.68278    1451.8578    7091.0631    2.2175062   0.12858552   0.10972406 
    7500   -954.79116    38.162182   -916.62897    1366.8309    2194.3102    2.2066823   0.18903409   0.11047671 
    7600   -959.25836    35.370471   -923.88789     1266.842   -5724.4617    2.1956439   0.21307726   0.11843717 
    7700   -955.32067    38.048496   -917.27217    1362.7591   -9039.2773     2.179871  0.044679572   0.12716957 
    7800   -953.08448    38.090338   -914.99414    1364.2578    3431.5942    2.2073508   0.39010924   0.10982223 
    7900   -956.10911     41.33846   -914.77065    1480.5937    7997.1667    2.2231919   0.31260309  0.099425294 
    8000   -957.19581    35.817484   -921.37832    1282.8524    1235.1881    2.2108242   0.45018538  0.096101326 
    8100   -956.02676    36.190843   -919.83591    1296.2247   -6854.1889    2.1887572   0.10404387  0.098134417 
    8200   -955.25047    39.780344   -915.47013    1424.7877   -2653.5469    2.1921384   0.25635248  0.092491347 
    8300   -953.36077    38.682095   -914.67868    1385.4524    3015.6966    2.2019526  0.055928205  0.093899354 
    8400   -955.28858    35.783573   -919.50501    1281.6378     2849.542    2.2090362   0.21657719  0.089032243 
    8500   -960.05491    39.328063   -920.72685    1408.5886   -2203.1822    2.2053711   0.35643956   0.10228986 
    8600   -951.99794    36.767729   -915.23021    1316.8867    1458.8897    2.1967698   0.26824833   0.10788227 
    8700    -953.2953     38.47177   -914.82353    1377.9193   -1728.3171    2.1968786     0.302663   0.11637583 
    8800   -960.21709    39.476682   -920.74041    1413.9116   -2936.8426    2.2054424  0.072643083   0.10317135 
    8900   -957.29511    38.302672   -918.99244    1371.8628   -1007.5392    2.2043054   0.17989747   0.10728592 
    9000   -954.01438    39.360292   -914.65409    1409.7429   -774.17613    2.2004586   0.20513589   0.11178802 
    9100   -952.48338    36.847176   -915.63621    1319.7322    2048.1177    2.2012046    0.1781942  0.099284429 
    9200   -959.79516    37.405803   -922.38936    1339.7402    130.50813    2.2105326   0.15284208  0.080229888 
    9300   -952.45523    35.882044   -916.57318    1285.1647   -1676.4251    2.1957791   0.13571376  0.094630479 
    9400   -955.13302    40.732425   -914.40059    1458.8878    34.892248    2.1963375   0.25042674   0.10045298 
    9500   -955.37972    39.399436   -915.98028    1411.1449    2507.6788    2.2049977   0.12832305   0.10539703 
    9600   -954.69971    32.667697   -922.03201    1170.0385    5887.9155    2.2152711  0.069453224  0.097888524 
    9700   -954.66523     39.35066   -915.31457    1409.3979   -1883.5681    2.1919111  0.021120012  0.097341361 
    9800   -955.26164    40.707377   -914.55426    1457.9906   -1451.2804    2.1957742   0.35387906   0.10773279 
    9900    -956.4283    40.399824   -916.02847    1446.9752   -1374.3532    2.2044448  0.071962604   0.11784914 
   10000   -958.47828    38.434528   -920.04376    1376.5854    2380.6406    2.2122859  0.085039237   0.10418681 
   10100   -960.79481    37.596111    -923.1987    1346.5563    98.752412    2.2141645    0.1055929  0.089258319 
   10200   -953.59743    37.391966   -916.20546    1339.2446   -2828.4225    2.1926604   0.11419072   0.10989006 
   10300   -950.86846    35.682145   -915.18631     1278.005   -2048.2456    2.1880061   0.10547494   0.10641957 
   10400   -952.54681    38.936129   -913.61068    1394.5509     1318.923    2.1984977   0.33487935  0.093569372 
   10500   -948.45098    43.599239   -904.85174    1561.5666     7850.858    2.2007607  0.011438453  0.095386202 
   10600   -950.58651    38.934517     -911.652    1394.4932    7645.9925    2.2076641   0.19102531  0.093408955 
   10700   -951.06527     36.01558   -915.04969    1289.9475   -5482.8105    2.1779995   0.24310917   0.10417318 
   10800   -951.76575    35.393627   -916.37213    1267.6714   -8341.5483    2.1732837  0.045245944   0.11788369 
   10900   -951.86951    38.345218   -913.52429    1373.3866    3648.3953    2.2034848  0.032386728   0.11241132 
   11000   -951.75726     42.69955   -909.05771     1529.343    8856.0874    2.2131589  0.033518523   0.10358454 
   11100   -957.52334    42.913543    -914.6098    1537.0075   -1485.7577    2.1969584   0.16399637  0.098070075 
   11200   -953.54682    36.838226   -916.70859    1319.4116   -6345.6152    2.1775208    0.2688924   0.11263328 
   11300   -946.67158    35.356622   -911.31496     1266.346    194.63976    2.1822621   0.20346742   0.11043498 
   11400   -949.27556    38.369658   -910.90591     1374.262    6340.7138    2.2002152   0.15757109   0.10452237 
   11500   -955.38507    39.343016   -916.04205    1409.1242    3349.6795    2.2074716   0.30998255  0.091639104 
   11600   -956.65658    41.268392   -915.38819    1478.0841   -1728.7683    2.1965233   0.13195568  0.087053937 
   11700   -953.28212    45.211172   -908.07095    1619.3002   -5094.8252    2.1769242   0.27964229   0.09593368 
   11800   -953.45955    38.936116   -914.52343    1394.5505    613.62135    2.1929209   0.19424853  0.087846691 
   11900   -953.37472    37.218851   -916.15587    1333.0443    1303.2723    2.1986123  0.086651776  0.098280134 
   12000   -951.35081    37.104064   -914.24674     1328.933    3059.6615    2.2009409   0.17809814   0.10461858 
   12100   -947.83383    40.281003   -907.55283    1442.7194    2365.5995    2.1877178    0.3096709   0.11185509 
   12200   -952.89143    38.714409   -914.17702    1386.6097    1084.9174    2.1955962   0.42714586   0.10680187 
   12300   -953.57381    37.804028   -915.76979    1354.0032   -2914.4534    2.1870319   0.20095272  0.095527957 
   12400   -952.63524    37.623681   -915.01156    1347.5438   -1044.5439    2.1936959   0.23240162   0.09965488 
   12500   -953.19721    41.328236   -911.86898    1480.2276    4206.1736    2.2066652  0.093314604   0.10335246 
   12600   -950.36694    44.007274   -906.35967    1576.1809    4732.3328     2.195264   0.61881925   0.10463149 
   12700   -952.87541    39.365895   -913.50952    1409.9436   -6629.8813     2.177375    1.8532775   0.11389929 
   12800   -952.04759    37.256336   -914.79125    1334.3868   -8684.5642    2.1727401    0.1989396   0.10653895 
   12900   -954.05178    42.409721   -911.64206    1518.9624    5249.2578    2.2087745    1.2311332   0.10745262 
   13000   -950.81594    46.629988   -904.18596    1670.1171    14936.197    2.2255441   0.42042097   0.11241157 
   13100   -949.39597    37.220746   -912.17522    1333.1121    3520.3611    2.1960389     3.187956   0.13572884 
   13200    -950.0144     36.22698   -913.78742     1297.519   -10162.084    2.1708029    3.9178377   0.13284767 
   13300   -951.73201    40.598696   -911.13332     1454.098   -7218.9621     2.175822    5.9968199   0.12660248 
   13400   -946.94748    43.437388   -903.51009    1555.7697    2579.1962    2.1875603    12.065008   0.11850811 
   13500   -954.71492    41.887416   -912.82751    1500.2553    10442.768    2.2248543    14.060282   0.10237585 
   13600   -953.66818    38.760763   -914.90742      1388.27    3986.9811    2.2057231    15.009783  0.098690953 
   13700   -952.89417    36.004561    -916.8896    1289.5528   -5280.9098    2.1838497    14.007636  0.098268563 
   13800   -956.94759    40.356672   -916.59092    1445.4296   -7416.1106    2.1862834    17.044259  0.099008288 
   13900   -954.43311    44.777246   -909.65587    1603.7586   -2062.7771    2.1880617    15.209261  0.085468333 
   14000   -954.86962    41.053052   -913.81656    1470.3714    3833.0775    2.2048021    15.466159  0.092168561 
   14100   -956.82027    40.333047   -916.48723    1444.5835    1192.2514     2.206061     15.73849  0.098728588 
   14200   -952.26816    38.042703   -914.22546    1362.5517   -1411.6906    2.1935351    16.563171   0.10445844 
   14300   -953.00212     43.34047   -909.66165    1552.2985   -5944.2082    2.1768613     16.87355   0.11083548 
   14400   -955.62461    39.448583   -916.17602    1412.9052   -463.53222    2.1973614      14.2677  0.095447287 
   14500   -954.99744    39.573816   -915.42362    1417.3906    5803.1421    2.2154375    14.375542   0.10036777 
   14600   -954.37427    46.055381   -908.31888    1649.5367    4834.4795    2.2059565    16.779119   0.10371474 
   14700   -956.95277     42.58245   -914.37032    1525.1489    -5337.457    2.1900618    17.372262   0.10714224 
   14800    -957.1453    40.507605    -916.6377    1450.8355   -17544.818    2.1604062    14.716659  0.097598871 
   14900   -952.59685    39.598103   -912.99875    1418.2604   -4861.3941    2.1807002    13.914173   0.10501952 
   15000    -954.6693    43.000522   -911.66878    1540.1228    11908.664    2.2273772    14.788402    0.1099197 
   15100   -958.68785    39.369726   -919.31812    1410.0808    12728.152    2.2408167    15.546482   0.08874164 
   15200   -952.11828    36.365767   -915.75251    1302.4899   -2054.6512    2.1942197    16.900782   0.11623055 
   15300   -950.48937    36.437798   -914.05157    1305.0698   -6854.2762    2.1740299    14.692173   0.11274995 
   15400   -956.15498    35.185282   -920.96969    1260.2092   -3948.3628    2.1972115    15.265408   0.10129675 
   15500   -960.45244    42.428718   -918.02372    1519.6428    1738.5046    2.2142679    13.979028  0.093118913 
   15600   -953.11255    39.507454   -913.60509    1415.0137    5907.6529    2.2110149    14.503149  0.095738672 
   15700   -956.07667    38.886188   -917.19048    1392.7622   -1259.8064     2.198119    16.065934   0.10762424 
   15800   -957.62729    35.819252   -921.80804    1282.9157   -5964.8462    2.1930566    14.690759    0.1077065 
   15900   -952.94817    39.031708   -913.91646    1397.9742   -4441.9405    2.1838633    13.203272   0.11163737 
   16000   -956.73799    41.862824   -914.87516    1499.3745    2784.8786    2.2093323     16.10373  0.096706384 
   16100   -956.47678    37.730947   -918.74584    1351.3857    10250.275     2.226727    16.611724   0.10375889 
   16200   -954.28172    42.654905   -911.62682     1527.744    6.1183466    2.1942469    14.893439   0.10563436 
   16300   -952.29516    39.511357   -912.78381    1415.1535   -6267.2713     2.177945    14.812867   0.11348649 
   16400   -954.98899    38.266255   -916.72273    1370.5585   -5758.0897    2.1877951    15.082052   0.10487981 
   16500   -956.50502    40.999632   -915.50538    1468.4581    4521.2594    2.2125902    17.404138  0.098574678 
   16600   -951.23161    42.864319   -908.36729    1535.2444    7040.2552    2.2090425    16.974544   0.11311722 
   16700   -953.17563    38.034524   -915.14111    1362.2587    1543.0033     2.197517    16.149716  0.097484822 
   16800   -955.31362     38.69499   -916.61863    1385.9142   -15551.359    2.1637502    15.316032   0.10153188 
   16900   -952.86243    42.360961   -910.50147     1517.216   -10366.265    2.1661274     15.23583   0.11204035 
   17000   -953.56949    41.527068   -912.04242     1487.349    10164.655    2.2210768    14.863456   0.11191257 
   17100   -957.62035    41.542724   -916.07763    1487.9097    11221.414    2.2327672    14.522177   0.10480352 
   17200    -954.5986    39.564886   -915.03372    1417.0708   -1275.7895    2.1955941    13.807981   0.10564802 
   17300   -952.59032    39.875484   -912.71484    1428.1952   -9769.8609    2.1693662    15.359906   0.10793127 
   17400   -958.08666    36.734996   -921.35166    1315.7143   -1163.6639    2.2013951    16.085379  0.090795139 
   17500   -957.58708    39.844912   -917.74217    1427.1003    1731.1348    2.2093768    15.112456  0.098419407 
   17600    -953.0007    39.118141   -913.88256      1401.07    3749.3308    2.2053831    16.115222   0.10237439 
   17700   -953.11083     37.31493    -915.7959    1336.4855   -939.92121    2.1938379    14.914106  0.096906362 
   17800   -959.63989    38.059595   -921.58029    1363.1567   -3686.3707    2.1993903    15.250615   0.10363593 
   17900   -955.89468    41.082355   -914.81233     1471.421   -1943.6213    2.1942662    15.574594   0.11045369 
   18000   -952.99129    38.619958   -914.37133    1383.2268    3098.0053     2.203413    14.741195   0.10627275 
   18100   -955.89563    34.725386   -921.17024    1243.7374    2907.9787    2.2146952     15.45899   0.11277369 
   18200   -955.04027    38.959505   -916.08077    1395.3882    -3143.504    2.1948687    13.505774   0.12639868 
   18300   -954.37257     40.25002   -914.12255    1441.6098   -5516.4984    2.1880941    12.939062   0.11755468 
   18400   -956.28516    39.380279   -916.90488    1410.4588   -14.475673    2.1995324    15.949696  0.099166694 
   18500   -960.40439    39.575496   -920.82889    1417.4508    5959.2475     2.224801    13.862357  0.090961176 
   18600   -954.03697    41.870953   -912.16602    1499.6657    2637.4789    2.1994434    14.677533   0.09771135 
   18700   -953.30043    38.526879   -914.77355    1379.8931   -5530.2902    2.1824318     12.55929   0.11861486 
   18800   -955.03862    37.152654   -917.88596    1330.6733   -7284.7852    2.1823712    15.598029   0.10748758 
   18900   -949.88314      33.7734   -916.10974    1209.6407    6313.9991    2.2067976     15.21155   0.10702228 
   19000   -954.43355    43.887567   -910.54598    1571.8935     6966.614    2.2106021    14.775152  0.099260287 
   19100   -958.99869     43.82662   -915.17207    1569.7106   -3765.5056    2.1958316    14.050363  0.097730718 
   19200   -957.09153    39.633021    -917.4585    1419.5111   -9723.1345     2.180398    17.316557   0.11390613 
   19300   -949.97391    39.378102   -910.59581    1410.3808   -3139.7534    2.1797985    17.764761   0.11969392 
   19400   -952.03113    40.202805   -911.82833    1439.9187    8200.3733    2.2131181    14.481504   0.12278396 
   19500   -955.70647    39.844441   -915.86203    1427.0834    6524.2583    2.2171147    14.795895   0.10532816 
   19600   -955.60657    39.798253   -915.80832    1425.4291   -5131.5593    2.1876993    14.681639   0.10580094 
   19700   -951.70035    43.506114   -908.19424    1558.2312   -10930.772     2.158958    16.637341   0.10828688 
   19800   -955.81146     39.18592   -916.62554    1403.4975    343.91951    2.1976442    16.807065   0.10107482 
   19900   -955.75514    39.759865   -915.99527    1424.0542     6822.371    2.2137851     15.01292   0.10009542 
   20000   -955.50253    42.824717   -912.67782     1533.826    141.41732    2.2015759    13.429573   0.10381005 
   20100   -949.53315    39.556589   -909.97656    1416.7736   -2376.2041    2.1796571    15.319663   0.12703255 
   20200   -957.27976    38.912482   -918.36727     1393.704   -644.64704    2.1982762    15.441022   0.10364873 
   20300   -954.09657    38.432622   -915.66395    1376.5171    2241.8491    2.2019529    14.827464   0.10938239 
   20400   -954.96646    41.747303   -913.21915     1495.237    360.37846    2.1975687    14.876493   0.10823676 
   20500   -958.41923    42.824895   -915.59433    1533.8324   -4123.9428    2.1913954    15.366752   0.10134771 
   20600   -954.72259    34.661245   -920.06135    1241.4401   -341.30318    2.1995767    14.860499   0.11134783 
   20700   -953.28238    37.810207   -915.47218    1354.2245    4256.3775    2.2036218    13.375722   0.10309264 
   20800   -954.15197    40.750147   -913.40183    1459.5225    3289.3625    2.2002647    14.910644   0.10389067 
   20900   -956.26936    36.882945   -919.38642    1321.0133   -2227.9422    2.1951172    14.660411  0.090219271 
   21000   -956.71136    37.571387   -919.13998    1345.6708   -5911.4327    2.1866926    17.336317  0.091187344 
   21100   -955.36829    41.009306   -914.35898    1468.8046    5.2008611    2.1954834    12.816426  0.085975508 
   21200   -953.51636     39.02086    -914.4955    1397.5857    7962.2505    2.2148664    12.789989  0.097197286 
   21300   -956.28357     34.46965   -921.81392    1234.5779    6642.1452    2.2206329    15.430766   0.10825547 
   21400   -951.42588    36.863223   -914.56266    1320.3069    -9724.177    2.1668418    14.830034   0.10302722 
   21500   -955.72622    41.154763   -914.57146    1474.0144   -13392.068    2.1643414    15.390252  0.098905648 
   21600   -956.82775    40.496057    -916.3317    1450.4219    3062.6858    2.2094969      15.4335  0.088341298 
   21700    -957.2121    36.028401    -921.1837    1290.4067    16036.494    2.2433578    12.807679   0.10350493 
   21800   -951.64317    38.659262   -912.98391    1384.6346    981.13652    2.1972179    15.601971   0.11962058 
   21900   -953.50352    39.128956   -914.37457    1401.4573   -7858.0112    2.1758044    14.699857   0.10977344 
   22000      -953.54    37.168546   -916.37146    1331.2425   -3288.4858    2.1873844    14.046145   0.10149739 
   22100   -957.96883    39.131935    -918.8369     1401.564    1668.0962    2.2130985    15.237872  0.091042492 
   22200   -950.43543    40.567136   -909.86829    1452.9677    4094.2547    2.1973366    16.119958     0.105276 
   22300   -953.12427    40.083851   -913.04041    1435.6582    1348.6591    2.1970781    14.849526  0.097662835 
   22400   -955.48043    38.941136    -916.5393    1394.7303   -2389.1898    2.1966787    15.617439   0.10734732 
   22500   -954.90602    38.621787   -916.28424    1383.2924   -390.55709    2.1986724    15.386676   0.09965483 
   22600   -949.66456    41.215713   -908.44885    1476.1974   -565.17333    2.1843094     15.84569   0.10598115 
   22700   -954.78802    39.327349   -915.46067     1408.563   -367.52697    2.2009609     16.10337   0.10198351 
   22800     -953.922    37.551554   -916.37045    1344.9605    4195.6595     2.206174    16.734659   0.10231622 
   22900   -950.04547    40.011178   -910.03429    1433.0553    1628.1741    2.1923587    14.330178   0.11640717 
   23000   -953.44482    40.190178   -913.25464    1439.4664   -3465.6691    2.1873758    13.339968   0.10584336 
   23100   -956.16649    39.053203   -917.11329    1398.7441   -8460.3316    2.1810264    16.384787   0.10189392 
   23200    -956.2277    42.663356   -913.56435    1528.0467   -404.27988     2.196489    15.490649  0.096367094 
   23300   -950.24813    41.561577   -908.68655     1488.585    9871.3232    2.2138047    13.993898   0.10000541 
   23400   -955.06029    37.515689    -917.5446    1343.6759    4900.0083    2.2130668    14.829898  0.094267319 
   23500   -953.64592    37.611983   -916.03394    1347.1248   -9366.0119    2.1711778    14.345852   0.10625352 
   23600   -954.40841    40.781841   -913.62657    1460.6576   -12242.141    2.1643958    15.434731  0.097532155 
