LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00111327 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1596.2128    -942.6951            0   -898.12853   -12160.171    4705.9808 
Loop time of 2.29944 on 1 procs for 3200 steps with 217 atoms

Performance: 360.714 ns/day, 0.067 hours/ns, 1391.642 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1963     | 2.1963     | 2.1963     |   0.0 | 95.52
Neigh   | 0.053659   | 0.053659   | 0.053659   |   0.0 |  2.33
Comm    | 0.015019   | 0.015019   | 0.015019   |   0.0 |  0.65
Output  | 2.3644e-05 | 2.3644e-05 | 2.3644e-05 |   0.0 |  0.00
Modify  | 0.029427   | 0.029427   | 0.029427   |   0.0 |  1.28
Other   |            | 0.004984   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4108 ave 4108 max 4108 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8216 ave 8216 max 8216 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8216
Ave neighs/atom = 37.8618
Neighbor list builds = 91
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.661 | 9.661 | 9.661 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -942.6951    44.566567   -898.12853    1596.2128   -12160.171    2.1430831            0 6.3056373e-32 
    6700    -942.7594    50.594046   -892.16536    1812.0953    535.19344    2.1692844  0.079691331   0.14978284 
    6800   -948.22092     47.30915   -900.91177    1694.4422   -8721.7761    2.1603321  0.038669135   0.11370843 
    6900   -944.22804    45.929123   -898.29892    1645.0146   -89.428092    2.1741055   0.14847706   0.13691459 
    7000   -940.74731    49.993947   -890.75336    1790.6019    5167.8658    2.1757392   0.24393405   0.13436193 
    7100   -947.15958    46.680677    -900.4789    1671.9326   -380.96928    2.1773111   0.35131138   0.14695677 
    7200   -945.96989    46.147645   -899.82224    1652.8413   -4231.6158    2.1643887   0.14944376   0.15864988 
    7300    -944.5042    51.475152   -893.02905    1843.6533    1344.5277    2.1702367 0.0090718068   0.14093778 
    7400   -947.13766    45.786499   -901.35116    1639.9063    1590.3828    2.1837481  0.052279856    0.1364683 
    7500   -944.87808    43.908898   -900.96918    1572.6575   -1313.4317    2.1699469  0.038707836   0.12179602 
    7600   -936.10588    41.147741   -894.95814    1473.7629     3043.079    2.1637561   0.12517822   0.14049836 
    7700   -941.60854    40.146653   -901.46189    1437.9075    3774.3812    2.1809085   0.11570105   0.13739855 
    7800    -944.6646     42.32602   -902.33858    1515.9645    3353.8056    2.1805133  0.048089093   0.12999634 
    7900   -943.35083    48.512568   -894.83826    1737.5442   -5119.1283    2.1574017   0.26778491   0.13770131 
    8000   -943.88149    44.599363   -899.28212    1597.3874   -1177.9634    2.1704776   0.13407779   0.15622096 
    8100   -946.25948    43.485464   -902.77402    1557.4916    4116.2029    2.1931523   0.22210289   0.15354922 
    8200   -941.78945    48.407869   -893.38158    1733.7943   -815.60071    2.1639789   0.29495485   0.14827275 
    8300   -945.78719    47.082688    -898.7045    1686.3311    -3511.181    2.1600362   0.21424014   0.13586476 
    8400   -944.15041     42.68817   -901.46224    1528.9354    4344.3041    2.1808807  0.055555342   0.12342084 
    8500   -941.60786    49.876786   -891.73108    1786.4056    6520.0663    2.1799964  0.060921289   0.13551656 
    8600   -944.30725    47.277481   -897.02977    1693.3079   -500.49684    2.1631395   0.24988155   0.12984743 
    8700   -946.64086    44.678039   -901.96282    1600.2053   -8316.5569    2.1551327  0.057118644   0.12738325 
    8800   -940.27271     46.23636   -894.03635    1656.0187    7992.1722    2.1810505   0.42725811   0.14676473 
    8900    -940.8104    47.397531   -893.41287    1697.6077    7093.1645    2.1821509    0.9287689    0.1626608 
    9000   -944.62186    43.004833   -901.61703    1540.2772   -8793.2395    2.1495676   0.96542145   0.14478869 
    9100   -945.18852    49.050417    -896.1381    1756.8081   -3964.9543    2.1610924    1.2988334   0.16237607 
    9200   -943.85669    50.443338   -893.41335    1806.6974    8057.0851    2.1902483   0.14902623    0.1437337 
