LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.000941494 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1422.9331   -958.64668            0   -918.91812    1354.5717    4561.5445 
Loop time of 2.3221 on 1 procs for 3200 steps with 217 atoms

Performance: 357.193 ns/day, 0.067 hours/ns, 1378.060 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2661     | 2.2661     | 2.2661     |   0.0 | 97.59
Neigh   | 0.0083721  | 0.0083721  | 0.0083721  |   0.0 |  0.36
Comm    | 0.01353    | 0.01353    | 0.01353    |   0.0 |  0.58
Output  | 2.5526e-05 | 2.5526e-05 | 2.5526e-05 |   0.0 |  0.00
Modify  | 0.029332   | 0.029332   | 0.029332   |   0.0 |  1.26
Other   |            | 0.004761   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4248 ave 4248 max 4248 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8496 ave 8496 max 8496 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8496
Ave neighs/atom = 39.1521
Neighbor list builds = 14
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -958.64668    39.728565   -918.91812    1422.9331    1354.5717    2.2109415            0 1.0347594e-31 
    6700   -956.76366    36.346009   -920.41765    1301.7822   -7029.4848    2.1828637  0.076351441  0.095468958 
    6800   -956.26927    39.732021   -916.53724    1423.0569    4890.5965    2.2108707  0.077774291  0.098981261 
    6900    -950.8028    37.677089   -913.12571    1349.4567    12049.036    2.2177116   0.17492609  0.092722201 
    7000   -952.16599     36.15573   -916.01026    1294.9671    1677.5971    2.1938933  0.064314439  0.082818087 
    7100   -955.84484    38.480406   -917.36444    1378.2286   -8540.9912    2.1752616   0.20039316  0.084683453 
    7200   -949.52078    40.169232   -909.35155    1438.7162   -1476.6641    2.1798529   0.13439814   0.10410801 
    7300   -952.50685    41.303296   -911.20355    1479.3343    8948.7941    2.2121992  0.094471717  0.092508519 
    7400   -955.21829    40.292228   -914.92607    1443.1215    5048.0382    2.2083986   0.19712564   0.09280044 
    7500   -954.73532      37.3171   -917.41822    1336.5632   -4014.7085    2.1878024   0.18054581  0.095320273 
    7600   -951.27033    41.011378   -910.25895    1468.8788   -5311.7676    2.1745509    0.4219703   0.10888627 
    7700    -952.5341    40.394009    -912.1401    1446.7669    1538.6022    2.1937888  0.077763918   0.10149951 
    7800   -953.02958    37.019404   -916.01018    1325.9008    4391.0091    2.2078928   0.35189661   0.10044535 
    7900   -953.78494    37.908551   -915.87639    1357.7468    2141.9306    2.1990315    0.1117731   0.09699428 
    8000   -952.50528    44.561187   -907.94409    1596.0201   -6972.7214    2.1724368    0.2228549  0.091976358 
    8100   -956.60042    40.674688   -915.92574    1456.8198   -1807.5151    2.1958602  0.088479377  0.080852242 
    8200   -955.63868      39.4501   -916.18858    1412.9595    2149.6697    2.2027675  0.043464231  0.084034167 
    8300   -952.94388    41.576814   -911.36707    1489.1307    1694.9001    2.1946908   0.20737692  0.097551407 
    8400   -953.97003    41.469067   -912.50096    1485.2716    -3208.839    2.1852061  0.049248531   0.10048892 
    8500   -954.99139    37.477389     -917.514    1342.3042    -2430.969    2.1889106   0.12217488   0.10190846 
    8600   -955.66578    41.078396   -914.58738    1471.2792    1871.1945    2.1993482   0.13655262  0.098241019 
    8700    -953.1106    41.714748   -911.39585     1494.071    10345.257    2.2154909    0.1568582   0.10173759 
    8800   -958.04236     38.49919   -919.54317    1378.9014    3555.9522    2.2129325   0.30463084   0.10899219 
    8900   -953.26066     35.94856    -917.3121    1287.5471   -15641.343    2.1539484   0.17260131   0.11286006 
    9000   -955.35135    40.657841   -914.69351    1456.2164   -13720.529    2.1618818   0.19017004   0.10764279 
    9100   -956.10908    41.822466   -914.28661    1497.9291    5821.0209    2.2127661  0.072003967  0.094211654 
    9200   -956.43157    34.693949   -921.73762    1242.6114     15666.41    2.2421443  0.065648026  0.088647068 
    9300   -954.04807    38.878483   -915.16958    1392.4863    608.42217    2.1954955  0.092078964  0.093929845 
    9400   -952.93365    38.312863   -914.62079    1372.2278   -7154.2176    2.1715567  0.046113151   0.09171348 
    9500   -955.38342     37.65387   -917.72955    1348.6251   -4676.5372    2.1853462   0.12898468  0.096532194 
    9600   -958.80599    37.367567   -921.43842    1338.3708    6426.9157    2.2206223   0.18575304  0.095830441 
    9700   -952.80377     39.38274   -913.42103    1410.5469    5020.1628    2.2060942   0.34782178   0.11185469 
    9800   -955.10077    39.874035   -915.22674    1428.1433   -4150.5803    2.1881559   0.38138986   0.11482714 
    9900   -955.90203    37.880548   -918.02148    1356.7439   -6915.5432    2.1826894   0.22059279   0.10934783 
   10000   -958.88994    35.108532   -923.78141    1257.4603   -1593.1992    2.2045963   0.11065577   0.11408804 
   10100   -956.21048    38.993057   -917.21742    1396.5899    5611.1642    2.2115663   0.17097162   0.10390996 
   10200   -956.36779    40.895104   -915.47269    1464.7143    6189.0798    2.2170226  0.021603768   0.10901138 
   10300   -955.59415    40.520808   -915.07334    1451.3084   -2506.0959    2.1935924   0.11062088   0.10526012 
   10400   -953.84808    39.080944   -914.76713    1399.7377   -9791.0494    2.1699533  0.087152204   0.10095309 
   10500   -958.41494    35.252201   -923.16274     1262.606   -1461.0437    2.2031886  0.092913939   0.10132095 
   10600   -956.19712    38.928682   -917.26843    1394.2842    7458.5051    2.2179213  0.097082378    0.1110194 
   10700   -953.21544      39.1324   -914.08304    1401.5807    8366.2327    2.2133631   0.14458165   0.11339335 
   10800    -954.6466    38.503841   -916.14276     1379.068   -3360.6516    2.1875921   0.15342937   0.11038122 
   10900   -958.72485    36.191566   -922.53329    1296.2507   -11764.866    2.1779073   0.24696806   0.10473186 
   11000   -956.35835    40.409211   -915.94914    1447.3114   -5002.8251    2.1870193   0.11905943  0.099707084 
   11100   -954.73978    41.058498   -913.68128    1470.5665    14712.551    2.2344805  0.085039579   0.10567047 
   11200   -954.49772    36.587693   -917.91003    1310.4385    17170.516    2.2443019   0.10733197   0.10821166 
   11300   -957.97453    35.127382   -922.84714    1258.1354   -4939.3099    2.1950034   0.11273844  0.086771635 
   11400   -954.71005    40.224976   -914.48507    1440.7128   -15307.792    2.1602655   0.45392326   0.10820087 
   11500   -955.41758    40.162707   -915.25487    1438.4825   -4387.7746    2.1902162   0.13941667   0.11338255 
   11600   -954.89047    37.198731   -917.69174    1332.3237    8301.3795    2.2186275      0.23606  0.097764869 
   11700   -960.35512    36.913705   -923.44142     1322.115    5410.8923    2.2220065    0.0737574  0.095156762 
   11800   -956.03199    34.604209   -921.42778    1239.3973   -536.70413    2.2041257   0.14418333  0.096708051 
   11900   -955.57897    38.165395   -917.41358     1366.946   -5328.7352    2.1883058    0.2650428   0.10967992 
   12000   -952.31428    36.613461   -915.70082    1311.3614   -562.37236    2.1919225   0.12976369   0.11102517 
   12100   -953.08013    39.437257   -913.64288    1412.4995    3771.6844    2.2030589   0.21848718   0.10996294 
   12200   -951.86242    39.923441   -911.93898    1429.9129    6671.3051     2.205433   0.10279181   0.10971177 
   12300     -955.928    35.194805    -920.7332    1260.5503    3378.3203    2.2123948  0.034318072  0.089436843 
   12400   -956.51016    38.794771   -917.71539     1389.488   -8140.6605     2.182381   0.20872231  0.099519564 
   12500    -953.1484    38.018599    -915.1298    1361.6884    -7526.019    2.1777434   0.18165482    0.1022362 
   12600   -952.97877    40.340632   -912.63813    1444.8551    2238.0332    2.2001338   0.24912782    0.1062099 
   12700   -958.42287    37.438476   -920.98439    1340.9105    10578.125    2.2324355   0.14796926   0.10349319 
   12800   -956.89986    39.394094   -917.50576    1410.9536    -2160.034    2.1998831   0.19537895  0.098077198 
   12900   -953.09887    38.747137   -914.35173    1387.7819   -7852.1636    2.1707796   0.20699644    0.1106972 
   13000   -954.40585    39.249127   -915.15673    1405.7614   -6424.3965    2.1811834   0.21546841   0.10755814 
   13100   -961.23418     39.76656   -921.46762     1424.294    4220.1716    2.2230895  0.081029062  0.096386108 
   13200   -953.63047    39.712188   -913.91828    1422.3466    6735.4867    2.2111015   0.10914137   0.10054293 
   13300   -953.58152    38.733257   -914.84826    1387.2848    499.80558    2.1951579    0.1357668   0.11362915 
   13400   -955.37911     35.49566   -919.88345    1271.3258   -4709.6005    2.1900925   0.25254094   0.10095386 
   13500   -955.58759    38.589497   -916.99809    1382.1358   -1100.9754     2.197543   0.07797039   0.09473051 
   13600   -954.45286    41.210667   -913.24219    1476.0166    2638.5999    2.2009409   0.12955413   0.10450524 
   13700   -954.22355    37.978435   -916.24511    1360.2498    1935.9729    2.2031482   0.19623613   0.10419513 
   13800   -958.87677    40.000241   -918.87653    1432.6636   -4058.7369     2.198592   0.19866405   0.10603473 
   13900    -950.0815    40.170197    -909.9113    1438.7508   -3167.0401    2.1799013    0.3724628   0.10898458 
   14000   -953.54451     39.95873   -913.58578    1431.1768    2927.5955    2.2036721   0.34713065   0.11183232 
   14100   -956.97843    40.428667   -916.54977    1448.0082    2888.3194    2.2121171   0.10016059  0.098285506 
   14200   -955.75404    40.794547   -914.95949    1461.1127   -637.93201    2.1994403   0.49629766   0.09737278 
   14300   -953.73663    44.240024   -909.49661    1584.5172   -9345.2745    2.1713256  0.018546502   0.11557793 
   14400   -954.27235    37.642328   -916.63002    1348.2117   -4603.9526    2.1890658   0.19356863   0.10297842 
