LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00101742 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1400   -951.04357            0    -911.9553   -116399.41    5330.9442 
    3200    1343.9124   -957.62046            0   -920.09817    12104.575    4518.4804 
Loop time of 2.31645 on 1 procs for 3200 steps with 217 atoms

Performance: 358.066 ns/day, 0.067 hours/ns, 1381.426 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2637     | 2.2637     | 2.2637     |   0.0 | 97.72
Neigh   | 0.004695   | 0.004695   | 0.004695   |   0.0 |  0.20
Comm    | 0.013521   | 0.013521   | 0.013521   |   0.0 |  0.58
Output  | 2.602e-05  | 2.602e-05  | 2.602e-05  |   0.0 |  0.00
Modify  | 0.029697   | 0.029697   | 0.029697   |   0.0 |  1.28
Other   |            | 0.004831   |            |       |  0.21

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4187 ave 4187 max 4187 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8374 ave 8374 max 8374 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8374
Ave neighs/atom = 38.5899
Neighbor list builds = 8
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.667 | 9.667 | 9.667 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -957.62046    37.522291   -920.09817    1343.9124    12104.575    2.2320132            0 5.4785574e-32 
    6800   -951.36983    33.769923   -917.59991    1209.5162    3639.7616     2.198671   0.02074357   0.10286949 
    6900   -952.81422    38.080835   -914.73339    1363.9174   -7598.1341    2.1758774  0.092229948   0.11090285 
    7000    -953.3645      42.1104    -911.2541    1508.2418   -6125.7504    2.1769967  0.028555949   0.11342517 
    7100   -954.87368    35.104723   -919.76896    1257.3239    8896.0007    2.2208907   0.26505071   0.11823692 
    7200   -955.70322    40.166727    -915.5365    1438.6265    4884.5572    2.2120186  0.011055054   0.11717574 
    7300   -952.47343    38.885761   -913.58767    1392.7469   -2380.0785    2.1855465  0.031286583   0.10904039 
    7400   -955.61094    35.147884   -920.46305    1258.8698   -7997.5583    2.1816622   0.16447252   0.10530901 
    7500   -954.78358     37.45384   -917.32974    1341.4607   -2489.1673     2.192076  0.024165868   0.10295534 
    7600   -954.42281    41.742448   -912.68036    1495.0631    5372.7867    2.2096394  0.081489782   0.10624544 
    7700   -956.10761    38.578374   -917.52924    1381.7375    5821.1473    2.2161981  0.002744188   0.10215392 
    7800   -958.16895    38.153671   -920.01528    1366.5261   -4360.1267    2.1934533  0.031603248  0.092485391 
    7900   -953.90471    41.061401   -912.84331    1470.6705   -10830.123    2.1671031  0.071314825   0.10590113 
    8000   -953.97857     37.70229   -916.27628    1350.3593   -273.24026    2.1911225   0.11326581  0.089346764 
    8100   -955.91226    38.036236   -917.87603      1362.32    9326.6817    2.2241399  0.081698073  0.093637496 
    8200   -950.96229    41.242329   -909.71996    1477.1507    7528.1635    2.2033506  0.069870805   0.10299371 
    8300   -953.57894    38.313649   -915.26529     1372.256   -3554.3406    2.1865648   0.23234463  0.096989808 
    8400   -956.63037    38.853018   -917.77735    1391.5742   -8067.4792    2.1778148   0.17568797   0.10333574 
    8500   -952.32531     41.84006   -910.48525    1498.5592   -1938.7409    2.1850187   0.23152459   0.10201052 
    8600   -953.10948    39.151914   -913.95756    1402.2796    7317.6267    2.2143639  0.056328909  0.097813223 
    8700   -955.12448     37.94311   -917.18137    1358.9846    3195.8876    2.2079403    0.1179953  0.088198069 
    8800   -953.91731    41.341881   -912.57543    1480.7163   -2378.4175    2.1881297 0.0028001404  0.094034209 
    8900   -955.15889    43.377991    -911.7809    1553.6423   -5257.8105    2.1854037 0.0019426005   0.10756979 
    9000   -958.88277     40.37454   -918.50823    1446.0696   -1466.2303    2.2051635   0.02752829  0.096447082 
    9100   -954.49171    40.153545   -914.33816    1438.1544     4879.911    2.2065074 0.0067243262   0.09605879 
    9200   -953.93917    41.119289   -912.81988    1472.7438   -190.13598    2.1958778   0.06628022  0.087706263 
    9300   -958.32319    37.374907   -920.94828    1338.6336   -2526.7749    2.2001285  0.073383472  0.094047705 
