LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00105405 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1675   -951.04357            0   -904.27725   -114861.02    5330.9442 
    3200    1652.3113    -944.0942            0   -897.96135   -7226.3961     4690.424 
Loop time of 2.28935 on 1 procs for 3200 steps with 217 atoms

Performance: 362.304 ns/day, 0.066 hours/ns, 1397.778 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.1848     | 2.1848     | 2.1848     |   0.0 | 95.43
Neigh   | 0.054595   | 0.054595   | 0.054595   |   0.0 |  2.38
Comm    | 0.015114   | 0.015114   | 0.015114   |   0.0 |  0.66
Output  | 2.5152e-05 | 2.5152e-05 | 2.5152e-05 |   0.0 |  0.00
Modify  | 0.029742   | 0.029742   | 0.029742   |   0.0 |  1.30
Other   |            | 0.005038   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4219 ave 4219 max 4219 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8438 ave 8438 max 8438 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8438
Ave neighs/atom = 38.8848
Neighbor list builds = 92
Dangerous builds = 1
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.662 | 9.662 | 9.662 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200    -944.0942    46.132848   -897.96135    1652.3113   -7226.3961    2.1501911            0 4.601546e-32 
    6800    -947.3748    46.204609   -901.17019    1654.8815    8722.4008    2.1987292    1.1225017   0.17018906 
    6900   -936.68359      44.8523   -891.83129    1606.4467   -4050.0848    2.1462527   0.97001531   0.17090912 
    7000    -944.5256    47.470571   -897.05503    1700.2237   -5577.7944    2.1609496    1.3119756   0.15634378 
    7100   -949.33868    49.406173   -899.93251    1769.5499    7673.1882    2.2003834    1.0181394   0.15810049 
    7200   -941.97319    47.875608   -894.09758    1714.7307      6327.71    2.1838242    0.5686233   0.14440085 
    7300   -942.51371    47.902604    -894.6111    1715.6976   -12988.917    2.1329152   0.62686822   0.14222517 
    7400   -947.37722    44.658882   -902.71834    1599.5192   -4151.3469    2.1722879   0.77921032   0.12602026 
    7500   -945.43969    50.131656   -895.30803    1795.5341    22490.554    2.2282123   0.76609771   0.14622002 
    7600   -943.11638    46.424826   -896.69156    1662.7689   -3551.9055    2.1599482   0.91073141   0.17695251 
    7700   -947.45962    42.594496   -904.86512    1525.5804   -16123.174    2.1444527   0.80697008   0.17124572 
    7800   -946.37873    45.910102   -900.46863    1644.3334    4627.6169    2.1901334    1.4806843   0.15844702 
    7900   -942.65202    48.084038   -894.56799    1722.1959    8907.7969    2.1903318    1.0034314   0.15363081 
    8000    -945.1334    44.066315   -901.06708    1578.2956     -3887.84    2.1636787   0.67398428   0.13716964 
    8100   -944.34252    41.854913    -902.4876    1499.0912   -3095.8442    2.1674929    1.1647962   0.15381009 
    8200   -941.81802    47.497364   -894.32066    1701.1833    4065.5943    2.1788151    0.7484646   0.15597297 
    8300   -945.64776    46.745514   -898.90225    1674.2548    1975.6343    2.1795857   0.87375282   0.13169632 
    8400   -946.64429    43.296439   -903.34785    1550.7214   -6192.7356    2.1674852   0.60339388   0.12486358 
    8500   -940.28632    46.970237   -893.31609    1682.3035   -226.25871    2.1609961    1.3497327   0.15153529 
    8600   -944.52818    48.292259   -896.23592    1729.6536    8960.2007    2.1948107   0.68751812   0.16404856 
    8700   -946.49535    45.328338   -901.16701    1623.4967     360.7997    2.1795225    1.2852118   0.17912885 
    8800   -940.19474    47.174117   -893.02062    1689.6058   -8485.3474    2.1458017   0.78003007   0.16404678 
    8900   -942.20385    47.130531   -895.07332    1688.0447    1255.0559    2.1729543    0.8944251   0.14033165 
    9000   -947.26504    47.480078   -899.78496    1700.5642    6632.1293    2.1943053   0.77000952   0.14654358 
    9100   -943.60626    47.014926   -896.59133    1683.9042   -4860.2247    2.1593795   0.88355927   0.15033849 
    9200    -942.4583    50.064602    -892.3937    1793.1325   -10960.029    2.1387789    0.7841975   0.14397676 
    9300   -947.18717    45.396618   -901.79055    1625.9422    11563.862    2.2117989   0.73626502   0.15511829 
    9400   -947.64318    50.387224   -897.25596    1804.6876    5176.2268    2.1914333   0.75599049   0.12798468 
    9500   -942.94551    47.495706    -895.4498    1701.1239   -14116.066    2.1248719    1.3043128   0.14613579 
    9600     -947.809    43.371351   -904.43765    1553.4045   -4558.2483    2.1721281    1.3482026   0.15434883 
    9700   -944.70322    44.308497   -900.39472    1586.9697    14669.594    2.2098549    1.1920142   0.15430085 
    9800   -947.34503    51.617931   -895.72709    1848.7671   -1893.1051    2.1674489   0.62200746   0.14516893 
    9900   -945.88912    46.619402   -899.26972    1669.7379    -7941.224    2.1527422   0.80963131   0.14155119 
   10000   -946.48559    43.125517   -903.36008    1544.5996    5673.9691    2.1918973    1.0108922   0.14893876 
   10100   -945.02044    50.537307   -894.48313    1810.0631    1414.1052    2.1754918   0.60401634   0.13293893 
   10200   -946.28259    47.492889    -898.7897    1701.0231   -4271.6916    2.1653402   0.78836665   0.13945404 
   10300   -949.40482    46.168857   -903.23597     1653.601   -3457.6471    2.1743789     1.057596   0.13000762 
   10400   -942.50766    49.147827   -893.35984    1760.2969    4314.6249    2.1758162   0.67566944   0.13483969 
   10500   -945.48477    49.003035   -896.48173     1755.111    5631.6273    2.1854306    1.2406247    0.1356787 
   10600   -948.67579     46.61676   -902.05903    1669.6433   -7445.7459    2.1666868    1.6937276   0.13710052 
   10700   -942.92531    49.298254   -893.62705    1765.6847   -4999.3691     2.158081    1.3990782   0.15842163 
   10800   -942.37371    46.960947   -895.41276    1681.9708    7984.5262    2.1910326   0.84502889   0.15381136 
   10900   -946.93331    46.060532   -900.87278    1649.7212   -1112.4219    2.1784689   0.57349778   0.15206418 
   11000   -944.98875    49.130362   -895.85839    1759.6714   -9464.0929     2.149766   0.12559438   0.13899761 
   11100   -941.06978    48.992095   -892.07768    1754.7192    4108.6994    2.1770192    1.8842849   0.14771886 
   11200   -945.39133    45.339048   -900.05228    1623.8803    13590.782    2.2105896   0.87341202   0.13898359 
   11300   -942.85616    44.982024   -897.87414     1611.093   -8275.2351    2.1466822   0.86717503   0.13399759 
   11400    -942.3744    47.862974   -894.51143    1714.2782    -11627.74    2.1343505   0.61442744   0.13977701 
   11500   -948.78017    46.506541   -902.27363    1665.6956    14409.228    2.2175712    1.1319391   0.14851785 
   11600   -945.27246    45.907195   -899.36527    1644.2293    6005.9078    2.1884369    1.0035106   0.14095621 
   11700    -942.8402    46.600756   -896.23944    1669.0701   -10749.272    2.1415222   0.77178433    0.1461607 
   11800   -945.88544    44.366971   -901.51846     1589.064   -2641.8259    2.1723143   0.86581856   0.15090009 
   11900   -946.61665    44.622421   -901.99423    1598.2133    9295.1214    2.2012814   0.73896109   0.14699354 
   12000   -940.64216    46.354373   -894.28778    1660.2455    40.266801     2.163628    1.6063913   0.14309735 
   12100   -945.21318    44.651764   -900.56142    1599.2643   -6294.4735     2.159146    1.0263668    0.1404985 
   12200   -945.76125    45.706574   -900.05468    1637.0437    1753.2519    2.1821283    1.0129425   0.13782692 
   12300   -944.20424    52.480639    -891.7236    1879.6662    2652.0532    2.1719601    1.0694038   0.13124563 
