LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00110788 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1600   -951.04357            0   -906.37126   -115280.58    5330.9442 
    3200    1641.3839   -946.97127            0   -901.14351    8529.3986    4590.2931 
Loop time of 2.29485 on 1 procs for 3200 steps with 217 atoms

Performance: 361.436 ns/day, 0.066 hours/ns, 1394.429 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.209      | 2.209      | 2.209      |   0.0 | 96.26
Neigh   | 0.036757   | 0.036757   | 0.036757   |   0.0 |  1.60
Comm    | 0.014479   | 0.014479   | 0.014479   |   0.0 |  0.63
Output  | 2.771e-05  | 2.771e-05  | 2.771e-05  |   0.0 |  0.00
Modify  | 0.029596   | 0.029596   | 0.029596   |   0.0 |  1.29
Other   |            | 0.004992   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4223 ave 4223 max 4223 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8446 ave 8446 max 8446 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8446
Ave neighs/atom = 38.9217
Neighbor list builds = 62
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -946.97127    45.827752   -901.14351    1641.3839    8529.3986    2.1970946            0 7.890963e-32 
    6800   -946.89007    45.988256   -900.90182    1647.1325    130.81958    2.1766169   0.12273464   0.10932808 
    6900   -948.95046    43.731496   -905.21897    1566.3036   -10150.943    2.1532947   0.11923727   0.10105679 
    7000   -945.40942    44.763625   -900.64579    1603.2707    2967.3075    2.1788474   0.12780859   0.11225083 
    7100   -949.97354    51.319707   -898.65384    1838.0858     8603.036    2.1993749 0.0016932047   0.11064226 
    7200   -949.55433    41.719414   -907.83491    1494.2381    1041.4121    2.1812209  0.091687978  0.098432133 
    7300    -944.0683    40.050476   -904.01782    1434.4628   -8700.6601    2.1450739  0.050088123   0.11348419 
    7400    -944.7105    43.850499      -900.86    1570.5659    3642.0341     2.180531  0.043739691   0.11404796 
    7500   -954.87347    47.654527   -907.21894    1706.8123    9600.0457    2.2148124  0.058625549  0.093704207 
    7600    -952.5081    44.221207    -908.2869    1583.8433   -2496.9404    2.1851019  0.033732122   0.11713227 
    7700   -947.47343     45.40652   -902.06691    1626.2969   -7751.5632    2.1562885  0.016167912   0.11450623 
    7800   -948.86901    45.876034   -902.99298    1643.1132   -23.730607    2.1798512  0.092206157   0.11562733 
    7900   -952.93131    43.007458   -909.92385    1540.3712    3926.3443    2.2002302    0.1939591   0.11176325 
    8000   -947.29959    45.704504   -901.59509    1636.9696   -3374.0494    2.1700824   0.36488644   0.11171656 
    8100   -948.49608    46.935978    -901.5601    1681.0765   -1519.8221    2.1734926   0.04707976   0.11406025 
    8200   -949.45324    44.599292   -904.85395    1597.3849    2067.9088    2.1839934  0.043369248   0.10367859 
    8300   -953.87963    43.981181   -909.89845    1575.2464   -1463.1205    2.1894006  0.022148583   0.10174111 
    8400   -945.46016    45.378758    -900.0814    1625.3025   -3382.6362    2.1644679   0.02659183   0.12510737 
    8500   -946.84256    45.368588   -901.47397    1624.9383    3471.2834    2.1840569  0.057813095   0.12258217 
    8600   -948.44752    44.272621    -904.1749    1585.6847    2309.3719    2.1857905  0.063273265   0.11750948 
    8700   -947.51038    43.520334   -903.99004    1558.7406   -4176.4072    2.1680895  0.019631612   0.12413107 
    8800   -941.57672    46.175302   -895.40141    1653.8319   -7662.4357    2.1478405  0.094436763   0.12800285 
    8900   -949.23726    47.111413   -902.12585      1687.36    7217.3316    2.1980559   0.27235918   0.11627645 
    9000   -948.26895    45.060194   -903.20876    1613.8927    10862.327    2.2040196   0.26215402   0.11718058 
    9100   -944.96961    44.216036   -900.75357    1583.6581   -9664.1823    2.1460148   0.11247419   0.12040769 
    9200    -939.3618    43.807172   -895.55463     1569.014   -9828.4488    2.1355267  0.024675826   0.14086026 
    9300   -947.32094    43.722819   -903.59813    1565.9928    13313.814    2.2126833  0.089979409   0.12083775 
