LAMMPS (3 Mar 2020)
Reading data file ...
  orthogonal box = (0 0 0) to (17.469 17.469 17.469)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  217 atoms
  read_data CPU = 0.00120599 secs
Reading potential file library.meam with DATE: 2012-06-29
Reading potential file LiSi.meam with DATE: 2020-11-07
1 atoms in group Li
216 atoms in group Si
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 6 6 6
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam/c, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam/c, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 8.895 | 8.895 | 8.895 Mbytes
Step Temp E_pair E_mol TotEng Press Volume 
       0         1425   -951.04357            0   -911.25729   -116259.55    5330.9442 
    3200    1395.3711   -952.99103            0     -914.032    9067.5284    4559.6238 
Loop time of 2.33891 on 1 procs for 3200 steps with 217 atoms

Performance: 354.626 ns/day, 0.068 hours/ns, 1368.157 timesteps/s
100.0% CPU use with 1 MPI tasks x no OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 2.2763     | 2.2763     | 2.2763     |   0.0 | 97.32
Neigh   | 0.012126   | 0.012126   | 0.012126   |   0.0 |  0.52
Comm    | 0.014      | 0.014      | 0.014      |   0.0 |  0.60
Output  | 2.5632e-05 | 2.5632e-05 | 2.5632e-05 |   0.0 |  0.00
Modify  | 0.031182   | 0.031182   | 0.031182   |   0.0 |  1.33
Other   |            | 0.005258   |            |       |  0.22

Nlocal:    217 ave 217 max 217 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:    957 ave 957 max 957 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:    4176 ave 4176 max 4176 min
Histogram: 1 0 0 0 0 0 0 0 0 0
FullNghs:  8352 ave 8352 max 8352 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 8352
Ave neighs/atom = 38.4885
Neighbor list builds = 20
Dangerous builds = 0
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 3200
  Time step     : 0.003
Per MPI rank memory allocation (min/avg/max) = 9.665 | 9.665 | 9.665 Mbytes
Step PotEng KinEng TotEng Temp Press Density c_msdli[4] c_msdsi[4] 
    3200   -952.99103    38.959028     -914.032    1395.3711    9067.5284    2.2118728            0 5.1290368e-32 
    6700   -953.80658    38.172694   -915.63389    1367.2075    6779.8342    2.2116679   0.14449199  0.097043828 
    6800   -956.52468    35.737003   -920.78768    1279.9698   -4723.8699    2.1899931   0.28029787  0.092832934 
    6900   -955.16857    37.422165   -917.74641    1340.3262   -5834.9349    2.1826812 0.0044855471   0.10191116 
    7000    -954.2704    40.171999    -914.0984    1438.8153    3225.5107     2.203199   0.17756041  0.093509935 
    7100   -953.01348    39.488291   -913.52519    1414.3274    7896.5586     2.213099   0.10952667   0.09777419 
    7200   -953.30988    39.013363   -914.29651    1397.3172    544.47111    2.1968947   0.10503258    0.1015178 
    7300   -950.26751    43.907394   -906.36012    1572.6036   -5825.5964     2.169537   0.14752361   0.10274093 
    7400   -950.91671    41.570415    -909.3463    1488.9015   -199.58164    2.1870962      0.13083   0.12026365 
    7500    -952.7515    39.214362   -913.53714    1404.5162    3376.0149    2.2056517   0.05189585   0.12317909 
    7600   -955.00196    40.436812   -914.56515    1448.2999    4001.0195    2.2088503  0.030006587    0.1180696 
    7700   -951.69908    43.778323   -907.92076    1567.9808   -3556.5898    2.1829172  0.032041173   0.12426041 
    7800   -949.52848    39.745296   -909.78318    1423.5324   -7939.0359    2.1688764   0.16671945    0.1122954 
    7900   -956.76134    41.778268   -914.98307     1496.346   -6629.0797    2.1872459   0.19974997   0.10562787 
    8000   -956.11339    42.901942   -913.21145     1536.592    8495.1751    2.2214441  0.012597994   0.10713573 
    8100   -946.63515    40.913735   -905.72142    1465.3816    11778.175    2.2113181   0.13558646   0.11417911 
    8200   -954.19316    41.713316   -912.47984    1494.0197   -5768.2314    2.1807414  0.055812348   0.10320957 
    8300   -954.36359    39.374819   -914.98877    1410.2632   -13309.441    2.1639915   0.15349118  0.093206354 
    8400   -952.91636    41.429422   -911.48694    1483.8516   -1592.1398    2.1872812   0.11281611   0.08507342 
    8500   -950.99333    45.336239   -905.65709    1623.7797    7777.7141    2.2081388  0.071172231    0.0983705 
    8600   -952.81949    38.088724   -914.73076       1364.2    7361.8139    2.2163488    0.1256241   0.11652691 
    8700   -950.43968    36.127389   -914.31229    1293.9521   -4967.0922    2.1795726   0.15480433   0.12754941 
    8800   -950.74017     38.77351   -911.96666    1388.7265   -6322.6127    2.1755524  0.072323651   0.11104366 
    8900   -958.68212    40.872275   -917.80985    1463.8967   -1417.4581    2.2036483   0.11650046   0.10148054 
    9000   -957.94046    40.032991   -917.90747    1433.8365     4697.023    2.2155128  0.078316624  0.097297492 
    9100   -955.65118    42.499506   -913.15167    1522.1782    1566.5236    2.2020834  0.015023203   0.10228808 
    9200   -953.38932    40.329235   -913.06008     1444.447    -3764.013     2.186147  0.046788756   0.11476663 
    9300   -956.07193     35.24756   -920.82437    1262.4398   -1918.0149    2.1969682  0.058034692   0.09205996 
    9400   -952.30686    37.628924   -914.67794    1347.7316    727.85092    2.1940969  0.025358589   0.10133355 
    9500   -952.38813    39.979076   -912.40905    1431.9055    5863.2595      2.20597   0.13963974  0.094073236 
    9600   -953.69473    36.685086   -917.00965    1313.9268    3650.7706    2.2051036  0.020177952  0.095767008 
    9700   -954.79901    34.951241   -919.84777    1251.8267   -5752.2167    2.1861418  0.047620465   0.10755479 
    9800   -951.94137    39.639869    -912.3015    1419.7563   -10099.646    2.1651027  0.034889988    0.1136789 
    9900   -957.31958    43.306465   -914.01311    1551.0805    -501.7968    2.2009948  0.087125385   0.10894333 
   10000   -955.98117    40.874288   -915.10688    1463.9688    16690.519    2.2387049  0.030047752   0.10566922 
   10100   -947.91022    41.600578   -906.30964    1489.9818    3052.3138    2.1911291  0.041653967   0.11679403 
   10200   -950.72577    39.495655   -911.23011    1414.5911   -12490.892    2.1602831  0.034609569   0.11569508 
   10300   -950.92386    35.831159    -915.0927    1283.3422   -6145.1397    2.1755286  0.031585583   0.10947362 
   10400    -952.5874     39.67672   -912.91068    1421.0762    7123.7273    2.2086006   0.10795379  0.099538958 
   10500   -950.62664    44.422286   -906.20435    1591.0452    4208.3765    2.1991244   0.31554535   0.11491781 
   10600   -954.14231    39.990408    -914.1519    1432.3114   -480.80045     2.195478  0.030265679  0.093636742 
   10700   -953.27918    38.558802   -914.72037    1381.0365   -4267.1287    2.1844227  0.031822542   0.10742634 
   10800    -951.1529    42.043773   -909.10913    1505.8555   -3353.7401    2.1827101  0.022239564   0.10436652 
   10900   -952.77748    42.626029   -910.15145    1526.7098    1507.6021     2.192743  0.060801969  0.099080744 
   11000   -953.42505    38.332002   -915.09305    1372.9133    2147.4358    2.2022221   0.14797119   0.11700323 
   11100    -952.1422    38.753304   -913.38889    1388.0028    1108.5648    2.1959796  0.037573115   0.10681188 
   11200    -950.1255    41.381514   -908.74399    1482.1358   -986.11298    2.1829018  0.024930116    0.1131289 
   11300   -949.29243    40.779858   -908.51257    1460.5866   -2480.4284    2.1743297   0.03375299   0.11298227 
   11400   -955.98311     41.04157   -914.94154    1469.9602   -2628.8532    2.1922482   0.13348483   0.10756451 
   11500   -955.15768    41.513876   -913.64381    1486.8765    6289.6946    2.2133133   0.25363871    0.1189709 
   11600   -954.35392    41.636673   -912.71725    1491.2746    6699.2783    2.2119643   0.10276033    0.1047163 
   11700   -948.20183    44.778996   -903.42284    1603.8212    -8760.937    2.1549981  0.055812029   0.10141129 
   11800   -953.63985    43.568392   -910.07146    1560.4618    -11258.94    2.1618094    0.1483758  0.095280124 
   11900   -951.87774    38.715475   -913.16226    1386.6479    4973.1817    2.2022854  0.013181287  0.095575636 
   12000   -958.07954     44.43833   -913.64121    1591.6198    9941.6713    2.2266374 0.0082606624  0.097187899 
   12100   -954.80948    39.292886   -915.51659    1407.3287     3443.813    2.2035473    0.1590155  0.090101954 
   12200   -960.77806    37.271722   -923.50634    1334.9379   -9015.5196    2.1883112  0.014165996  0.088387548 
   12300   -953.65397    36.400121   -917.25385    1303.7203   -6541.9131    2.1802891  0.037146219   0.11053203 
   12400   -954.45612     40.50934   -913.94679    1450.8976    2812.6018    2.2029322  0.046961837   0.11143583 
   12500   -952.20686    40.187853   -912.01901    1439.3831     7748.371    2.2116411  0.053596513   0.13235973 
   12600   -955.72416    40.188682   -915.53548    1439.4129   -925.48642    2.1974138  0.064108106   0.12100371 
   12700   -954.87168    35.909905   -918.96178    1286.1626   -3154.0247    2.1912641  0.023769441  0.096916348 
