    6700   -951.12232    41.395128    -909.7272    1482.6234    2323.6383    2.1957182    6.2549485   0.14828456 
    6800   -951.36472    42.782444   -908.58227     1532.312   -2968.7708    2.1815073    5.9183559   0.15118199 
    6900   -946.82636    45.294289   -901.53207    1622.2772   -4957.5495    2.1647631    5.4642888    0.1517848 
    7000   -949.16744    44.900238    -904.2672    1608.1637   -317.50932    2.1819915    6.0805344   0.13399883 
    7100   -952.22768    43.600412   -908.62726    1561.6087    1957.4438    2.1915627    6.2370097   0.12680488 
    7200   -949.91895    40.378403   -909.54054    1446.2079    2334.6763     2.188798    5.9132201    0.1130896 
    7300   -950.40716    40.737257    -909.6699    1459.0608   -1268.8359    2.1824494    6.5002081   0.13128877 
    7400    -945.0145    45.490298    -899.5242    1629.2975   -4188.0278    2.1615543    6.5445555   0.13051069 
    7500   -951.02793    45.077782   -905.95015    1614.5227    6861.4351    2.2026385    5.9396421   0.12940929 
    7600    -952.0032    42.993331   -909.00987    1539.8652    6208.2719    2.2037167    5.2987952   0.13423579 
    7700   -951.18783    39.785467   -911.40236    1424.9712   -6385.9748    2.1734348    6.0398683    0.1438265 
    7800   -949.34351    46.262015   -903.08149    1656.9376   -8965.1216    2.1594855    5.7809946   0.15377728 
    7900   -948.21335    42.832588   -905.38077     1534.108    7926.2321    2.2019456    5.1162726   0.14552954 
    8000   -949.65402    40.339232   -909.31479     1444.805    7410.6512    2.2051013    5.8471868   0.14772666 
    8100   -952.73767    42.088983   -910.64869    1507.4747    -7350.776     2.178405    6.5746907   0.12836697 
    8200   -942.98343    41.519048   -901.46438    1487.0617    -5390.377    2.1595962    6.4205518   0.14294652 
    8300   -950.33645    42.601718   -907.73473    1525.8391    4438.0552    2.2002566    7.0848964   0.13003769 
    8400   -951.44589    41.752277   -909.69361    1495.4151    6241.0832    2.2077265    5.7763914   0.12658009 
    8500   -950.55173    41.641615   -908.91012    1491.4516   -3187.5428    2.1809147    4.5425216   0.13617201 
    8600   -942.92274    42.257266   -900.66548     1513.502   -7549.2514    2.1515768    5.3912719   0.15626298 
    8700   -953.35333    43.593917   -909.75941     1561.376    3882.8783    2.2033136     5.291131   0.13560437 
    8800   -951.59725    42.043363   -909.55388    1505.8408    7856.8799    2.2096432    5.6198749   0.12524949 
    8900   -949.02661    40.577318   -908.44929    1453.3324   -2370.0914    2.1790857    6.4243241   0.14591968 
    9000   -946.92728    45.759632   -901.16765    1638.9441    -15572.11    2.1376194    5.7061661   0.13701609 
    9100   -947.05072    39.944367   -907.10635    1430.6624    2738.6555    2.1875218    5.4171306   0.14111573 
    9200    -950.9268    42.884174   -908.04262    1535.9556    23092.173     2.242727    7.0748801   0.12548945 
    9300   -950.43084     41.94203   -908.48881    1502.2114    1713.0112    2.1912394    6.9796313    0.1169732 
    9400   -950.47455     40.40724   -910.06731    1447.2408   -17379.242    2.1445793    4.5198654   0.13485985 
    9500   -955.00588    37.457209   -917.54867    1341.5814   -4904.1457    2.1896677    4.5828102   0.12845345 
    9600   -947.56882    37.264516   -910.30431    1334.6798    11096.166    2.2114264    4.4646962   0.15083194 
    9700   -950.42267    42.086718   -908.33595    1507.3936    7327.2592    2.2032324    6.2761526   0.14332681 
